model	term	effect_per_1sd_predictor_delta_rd	standardized_beta	n
M0	intercept	-0.2763308476293199		5723
M0	log_rna_expression	-0.14334117951588293	-0.254942460025471	5723
M0	log_transcript_length	-0.02142093217830469	-0.03809864802298945	5723
M1	intercept	-0.2763308476293199		5723
M1	log_rna_expression	-0.12881714550179782	-0.2291104348283141	5723
M1	log_transcript_length	-0.12362075223190301	-0.21986828063395722	5723
M1	total_CLIP_amount_point	0.27894214731344413	0.49611840422310016	5723
M2	intercept	-0.27633084762931986		5723
M2	log_rna_expression	-0.12516019977267812	-0.2226062973326539	5723
M2	log_transcript_length	-0.12565654975830165	-0.22348909100573408	5723
M2	total_CLIP_amount_point	0.2877273603516839	0.511743529057297	5723
M2	f_cds	-0.054415537487883754	-0.0967818950396745	5723
M2	f_3utr	-0.004992917809754791	-0.00888025864879135	5723
