gene_id	gene_id_base	featurecounts_gene_length	CLIP-35L33G.bam	RNA-control.bam	RNA-siLin28a.bam	RNA-siLuc.bam	RPF-siLin28a.bam	RPF-siLuc.bam	CLIP-35L33G_raw	CLIP-35L33G_cpm	RNA-control_raw	RNA-control_cpm	RNA-siLin28a_raw	RNA-siLin28a_cpm	RNA-siLuc_raw	RNA-siLuc_cpm	RPF-siLin28a_raw	RPF-siLin28a_cpm	RPF-siLuc_raw	RPF-siLuc_cpm	total_CLIP_enrichment_featureCounts	delta_rd	rna_expression_cpm	log_rna_expression	log_featurecounts_gene_length	response_eligible	baseline_eligible	gene_name	transcript_id	clip_points_3utr	clip_points_5utr	clip_points_cds	rna_control_reads_3utr	rna_control_reads_5utr	rna_control_reads_cds	region_length_3utr	region_length_5utr	region_length_cds	chrom	strand	transcript_length	cds_length	utr_length	clip_points_5utr_cpm	rna_control_reads_5utr_cpm	E_5utr	clip_points_cds_cpm	rna_control_reads_cds_cpm	E_cds	clip_points_3utr_cpm	rna_control_reads_3utr_cpm	E_3utr	clip_points_total	rna_control_total	clip_points_total_cpm	rna_control_total_cpm	total_CLIP_amount_point	f_5utr	raw_f_5utr	f_cds	raw_f_cds	f_3utr	raw_f_3utr	has_all_regions	composition_eligible	log_transcript_length	pred_M1	pred_M2
ENSMUSG00000033845.14	ENSMUSG00000033845	8487	4014	1355	3022	2563	1859	3191	4014.0	294.47701534999953	1355.0	260.5350370594266	3022.0	244.928790722856	2563.0	262.9045028884106	1859.0	173.8331624301184	3191.0	246.7468046056826	0.17661382928511205	-0.40294671872608673	256.122776890231	8.001254919341843	13.051208940914766	True	True	Mrpl15	ENSMUST00000156816.7	907	3	2973	300	23	1173	3256	62	885	chr1	-	4203	885	3318	0.15955683196293516	2.8738411235669217	0.08727999283687835	158.12082047526874	146.565897301913	1.0787839803657278	48.239348863460734	37.48488422043811	1.2861380277227115	3883	1496	206.5197261706924	186.92462264591802	0.14374977615900328	0.035592497193927736	0.0007725985063095545	0.439924598364514	0.7656451197527685	0.5244829044415583	0.23358228174092197	True	True	12.037546953962178	-0.30143013846589156	-0.32126005047214673
ENSMUSG00000033813.16	ENSMUSG00000033813	3017	1658	762	2130	2225	328	609	1658.0	121.63500036131023	762.0	146.5149064496554	2130.0	172.63346268685748	2225.0	228.2335227962207	328.0	30.670939901602384	609.0	47.09144594323432	-0.2682877699664199	-0.21436177535798792	182.4606306442445	7.512231870222068	11.559377090526683	True	True	Tcea1	ENSMUST00000081551.14	1092	19	555	657	66	1272	1544	100	903	chr1	+	2547	903	1644	1.0105266024319226	8.246674528496385	0.1330501864713274	29.518013913143005	158.93590909465757	0.18623475717999308	58.078686834508396	82.09189644275946	0.7078396940874278	1666	1995	88.60722735008332	249.27448006591342	-1.491190276539664	0.12953655436037653	0.011404561824729893	0.18131660982253875	0.33313325330132054	0.6891468358170848	0.6554621848739496	True	True	11.3151495622563	-0.502842759376407	-0.46081239608751917
ENSMUSG00000033793.13	ENSMUSG00000033793	9746	1111	474	1260	1031	603	1128	1111.0	81.50572098999739	474.0	91.1391937757699	1260.0	102.1212032795495	1031.0	105.7567469675971	603.0	56.38590475812878	1128.0	87.22356489978375	-0.16098340225609797	-0.5780613734196196	99.67238134097217	6.640568603668047	13.250742529050639	True	True	Atp6v1h	ENSMUST00000044369.13	38	37	880	50	71	476	367	233	1449	chr1	+	2049	1449	600	1.9678675942095338	8.87142259883702	0.23049494898140177	46.803337375794314	59.47601629642846	0.7872855603909544	2.021053204863845	6.247480703406351	0.33415669995272146	955	597	50.79225817486769	74.59491959867184	-0.5535639134043361	0.17049234786316064	0.0387434554973822	0.5823388504736754	0.9214659685863874	0.24716880166316393	0.039790575916230364	True	True	11.001408194392809	-0.18921065679136168	-0.2501029370319584
ENSMUSG00000025907.15	ENSMUSG00000025907	14690	1520	280	694	903	132	251	1520.0	111.51097741205764	280.0	53.837498432944244	694.0	56.24771037778361	903.0	92.62690835280327	132.0	12.343183131132667	251.0	19.40878970731004	1.049118411820138	0.069862379676356	67.57070572117705	6.080459529025701	13.842644981429922	True	True	Rb1cc1	ENSMUST00000027040.13	81	39	1272	9	22	329	2376	467	4764	chr1	+	7607	4764	2843	2.074238815518157	2.7488915094987947	0.7631876497468556	67.6520967522845	41.10842302841379	1.6441322373721623	4.308034462999249	1.1245465266131431	3.5997280358068644	1392	360	74.03437003080191	44.981861064525724	0.7175954831430409	0.12704870337960047	0.028017241379310345	0.27370053618139717	0.9137931034482759	0.5992507604390023	0.05818965517241379	True	True	12.893301530860564	-0.1292050659541887	-0.10476727834441082
ENSMUSG00000051285.18	ENSMUSG00000051285	6654	3508	529	2360	1775	208	138	3508.0	257.3555978694067	529.0	101.7144166822411	2360.0	191.27463471407683	1775.0	182.07393391608616	208.0	19.449864327845418	138.0	10.670968046250142	1.338381780957007	0.7889276009549322	158.354328437468	7.307923259592556	12.700222950799255	True	True	Pcmtd1	ENSMUST00000061280.17	2465	319	638	338	48	204	3749	412	1071	chr1	+	5232	1071	4161	16.96620979872544	5.997581475270097	2.7988489974165507	33.93241959745088	25.489721269897913	1.3299253727114413	131.1025302628784	42.23296955502693	3.09929900127449	3422	590	182.0011596590547	73.72027230019495	1.302651145371377	0.3872192289151435	0.09322033898305085	0.1839944483647919	0.1864406779661017	0.4287863227200646	0.7203389830508474	True	True	12.353422543614714	-0.04169605096281663	0.02118280834959642
ENSMUSG00000061024.9	ENSMUSG00000061024	2048	834	418	1495	1084	508	867	834.0	61.18431260635267	418.0	80.37169408918105	1495.0	121.1676181769258	1084.0	111.19332076903515	508.0	47.50255326223784	867.0	67.04151663839762	-0.39296358063808623	-0.6199935182214837	104.24421101171401	6.705206752166445	11.000704269011246	True	True	Rrs1	ENSMUST00000072079.9	724	25	85	165	62	308	837	116	1095	chr1	+	2048	1095	953	1.3296402663577929	7.746876072223875	0.18219228304348895	4.520776905616496	38.48448113298313	0.11975739390380248	38.506382113721685	20.61668632124096	1.8635404096522086	834	535	44.35679928569597	66.84804352644795	-0.5906378114442878	0.08413443412691309	0.02997601918465228	0.05530267473625761	0.10191846522781775	0.8605628911368293	0.86810551558753	True	True	11.000704269011246	-0.20248176722098743	-0.12278071440980097
ENSMUSG00000045210.9	ENSMUSG00000045210	9749	1278	405	1007	966	230	410	1278.0	93.75725600829583	405.0	77.87209594765149	1007.0	81.61591404960822	966.0	99.0892507960221	230.0	21.50706151636753	410.0	31.703600717119986	0.26751036688001745	-0.2781205137408471	86.19242026442726	6.431161936711384	13.251186503524336	True	True	Vcpip1	ENSMUST00000057438.7	260	6	1073	101	22	371	5863	226	3660	chr1	-	9749	3660	6089	0.3191136639258703	2.7488915094987947	0.14711464530272864	57.06816023207648	46.356306819275126	1.2305790999373396	13.828258770121048	12.61991102088083	1.0949965567570883	1339	494	71.2155326661234	61.725109349654744	0.2060234464656913	0.059495782866097816	0.004480955937266617	0.4976681062498683	0.80134428678118	0.442836110884034	0.1941747572815534	True	True	13.251186503524336	-0.3144998780093298	-0.3555631163312682
ENSMUSG00000025915.15	ENSMUSG00000025915	14311	234	86	246	235	31	66	234.0	17.166821522645716	86.0	16.53580309011859	246.0	19.93794921172157	235.0	24.10556308184803	31.0	2.898777856553884	66.0	5.103506456902241	0.053711022212085964	-0.5225056852111627	20.193105127896064	4.342917729319894	13.804937672051908	True	True	Sgk3	ENSMUST00000168907.8	70	34	94	19	7	58	1958	333	1488	chr1	+	3779	1488	2291	1.8083107622465986	0.8746472984768892	1.9579500863838373	4.999447401505302	7.247077615951367	0.6940783353688551	3.7229927458018204	2.3740426672944133	1.5452412346560718	198	84	10.53075090955372	10.49576758172267	0.004755402473803056	0.4664818433560172	0.1717171717171717	0.16536424680484244	0.47474747474747475	0.36815390983914037	0.35353535353535354	True	True	11.884170519108435	0.008994577299031088	0.06394586948888555
ENSMUSG00000025917.10	ENSMUSG00000025917	3766	1058	866	1748	1563	680	1424	1058.0	77.61750927760329	866.0	166.51169158189185	1748.0	141.6729074068671	1563.0	160.3276387103339	680.0	63.58609491795617	1424.0	110.11201810043623	-1.1001780712738891	-0.6128903836512769	156.17074589969764	7.287903918876353	11.879200317947392	True	True	Cops5	ENSMUST00000027050.10	255	88	711	89	125	814	381	315	1002	chr1	-	1698	1002	696	4.680333737579431	15.61870175851588	0.3041175925988673	37.81496917521564	101.7089858514554	0.37241279694638696	13.562330716849488	11.120515652063306	1.2176205747137088	1054	1028	56.05763362964455	128.44820326203458	-1.1947553957899493	0.16055615330420367	0.08349146110056926	0.19661199343320754	0.674573055028463	0.6428318532625887	0.24193548387096775	True	True	10.73047013718422	-0.342991572463197	-0.3016929537683206
ENSMUSG00000016918.16	ENSMUSG00000016918	11294	2554	625	923	905	1883	1936	2554.0	187.36778704631263	625.0	120.17298757353626	923.0	74.80783383097157	905.0	92.83206208115944	1883.0	176.07737754486982	1936.0	149.7028560691324	0.6403300555931464	0.5450233711480873	95.93762782855576	6.585527863696791	13.463396650280446	True	True	Sulf1	ENSMUST00000177608.8	1035	39	1342	184	23	460	2353	635	2610	chr1	+	5598	2610	2988	2.074238815518157	2.8738411235669217	0.7311213764205077	71.37508949808633	57.47682247133844	1.241386489045421	55.04710702721263	22.990728988535373	2.388279168431337	2416	667	128.4964353408171	83.34139258344074	0.6240155112669162	0.16765812472321068	0.016142384105960264	0.2846702852938877	0.5554635761589404	0.5476715899829017	0.4283940397350993	True	True	12.450953464712992	-0.1333684097677399	-0.10933898506396637
