gene_id_base	gene_name	transcript_id	clip_points_3utr	clip_points_5utr	clip_points_cds	rna_control_reads_3utr	rna_control_reads_5utr	rna_control_reads_cds	region_length_3utr	region_length_5utr	region_length_cds
ENSMUSG00000000001	Gnai3	ENSMUST00000000001.5	1076	7	890	400	24	393	2059	141	1062
ENSMUSG00000000003	Pbsn	ENSMUST00000000003.14	0	0	0	0	0	1	240	140	522
ENSMUSG00000000028	Cdc45	ENSMUST00000000028.14	0	0	507	40	22	665	132	313	1698
ENSMUSG00000000037	Scml2	ENSMUST00000077375.5	0	0	58	0	1	107	430	213	2907
ENSMUSG00000000049	Apoh	ENSMUST00000000049.6	0	0	2	0	0	0	104	51	1035
ENSMUSG00000000056	Narf	ENSMUST00000103015.4	114	0	115	88	10	128	2937	72	1386
ENSMUSG00000000058	Cav2	ENSMUST00000000058.7	0	0	0	1	0	0	2071	176	486
ENSMUSG00000000078	Klf6	ENSMUST00000000080.8	382	3	210	101	4	79	3114	157	954
ENSMUSG00000000085	Scmh1	ENSMUST00000000087.13	34	3	48	13	22	75	928	433	1992
ENSMUSG00000000088	Cox5a	ENSMUST00000000090.8	474	9	1533	473	53	1107	158	49	438
ENSMUSG00000000093	Tbx2	ENSMUST00000000095.7	0	0	0	1	1	2	937	556	2133
ENSMUSG00000000094	Tbx4	ENSMUST00000000096.12	0	0	16	1	0	0	1355	0	1656
ENSMUSG00000000103	Zfy2	ENSMUST00000187148.7	0	0	0	0	0	1	287	228	2331
ENSMUSG00000000120	Ngfr	ENSMUST00000000122.7	318	1	112	83	6	114	1988	177	1281
ENSMUSG00000000125	Wnt3	ENSMUST00000000127.6	2	0	0	0	0	0	1892	119	1065
ENSMUSG00000000126	Wnt9a	ENSMUST00000108783.4	4	0	10	1	0	1	2180	43	1095
ENSMUSG00000000127	Fer	ENSMUST00000000129.14	4	10	397	18	5	172	449	55	2469
ENSMUSG00000000131	Xpo6	ENSMUST00000009344.16	24	17	712	150	70	1034	576	507	3372
ENSMUSG00000000134	Tfe3	ENSMUST00000077680.10	261	6	60	182	3	411	1274	287	1716
ENSMUSG00000000142	Axin2	ENSMUST00000052915.14	26	2	112	33	4	80	1391	349	2520
ENSMUSG00000000148	Brat1	ENSMUST00000041588.13	6	0	57	31	4	166	785	82	2466
ENSMUSG00000000149	Gna12	ENSMUST00000000153.9	226	0	58	285	0	117	2144	135	1137
ENSMUSG00000000154	Slc22a18	ENSMUST00000105917.3	0	0	8	0	3	33	56	266	1230
ENSMUSG00000000157	Itgb2l	ENSMUST00000000161.14	0	0	0	0	0	0	336	83	2214
ENSMUSG00000000159	Igsf5	ENSMUST00000081093.10	0	0	0	0	0	1	673	71	810
ENSMUSG00000000167	Pih1d2	ENSMUST00000000171.15	0	0	20	0	4	5	6	305	945
ENSMUSG00000000168	Dlat	ENSMUST00000034567.4	211	0	429	107	17	539	1795	314	1926
ENSMUSG00000000171	Sdhd	ENSMUST00000000175.6	1091	4	70	346	16	704	731	23	477
ENSMUSG00000000182	Fgf23	ENSMUST00000000186.9	0	0	0	0	0	0	933	128	753
ENSMUSG00000000183	Fgf6	ENSMUST00000000187.7	1	0	0	0	0	0	4033	0	624
ENSMUSG00000000184	Ccnd2	ENSMUST00000000188.12	785	2	79	278	9	87	5176	287	867
ENSMUSG00000000194	Gpr107	ENSMUST00000056433.7	587	0	561	178	1	231	4438	43	1653
ENSMUSG00000000197	Nalcn	ENSMUST00000000201.7	0	0	11	0	0	2	1537	368	5217
ENSMUSG00000000202	Btbd17	ENSMUST00000000206.4	0	0	0	1	0	1	234	49	1434
ENSMUSG00000000204	Slfn4	ENSMUST00000000208.13	0	0	0	0	0	2	925	1227	1806
ENSMUSG00000000214	Th	ENSMUST00000000219.10	0	0	0	0	0	0	282	53	1494
ENSMUSG00000000215	Ins2	ENSMUST00000105933.8	0	0	0	0	0	0	57	165	330
ENSMUSG00000000216	Scnn1g	ENSMUST00000000221.6	0	0	10	1	0	0	929	97	1965
ENSMUSG00000000223	Drp2	ENSMUST00000153424.8	0	0	0	5	0	8	3876	388	2871
ENSMUSG00000000244	Tspan32	ENSMUST00000075172.12	10	0	0	1	0	0	908	281	687
ENSMUSG00000000247	Lhx2	ENSMUST00000000253.6	0	0	0	0	0	0	607	1015	1218
ENSMUSG00000000248	Clec2g	ENSMUST00000000254.14	0	0	0	0	0	0	1620	36	807
