gene_id	gene_id_base	featurecounts_gene_length	CLIP-35L33G.bam	RNA-control.bam	RNA-siLin28a.bam	RNA-siLuc.bam	RPF-siLin28a.bam	RPF-siLuc.bam	CLIP-35L33G_raw	CLIP-35L33G_cpm	RNA-control_raw	RNA-control_cpm	RNA-siLin28a_raw	RNA-siLin28a_cpm	RNA-siLuc_raw	RNA-siLuc_cpm	RPF-siLin28a_raw	RPF-siLin28a_cpm	RPF-siLuc_raw	RPF-siLuc_cpm	total_CLIP_enrichment_featureCounts	delta_rd	rna_expression_cpm	log_rna_expression	log_featurecounts_gene_length	response_eligible	baseline_eligible
ENSMUSG00000102693.2	ENSMUSG00000102693	1070	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.321928094887362	10.064742764750257	False	False
ENSMUSG00000064842.3	ENSMUSG00000064842	110	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.321928094887362	6.794415866350106	False	False
ENSMUSG00000051951.6	ENSMUSG00000051951	6094	4	1	1	1	0	0	4.0	0.2934499405580464	1.0	0.192276780117658	1.0	0.08104857403138849	1.0	0.10257686417807671	0.0	0.0	0.0	0.0	0.42884487134512683	0.16209260282400012	0.12530073944237438	-2.1500760463468844	12.573410505507574	False	False
ENSMUSG00000102851.2	ENSMUSG00000102851	480	3	0	0	0	0	0	3.0	0.22008745541853483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6784661371768221	0.0	0.0	-3.321928094887362	8.909893083770042	False	False
ENSMUSG00000103377.2	ENSMUSG00000103377	2819	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.321928094887362	11.461479447286155	False	False
ENSMUSG00000104017.2	ENSMUSG00000104017	2233	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.321928094887362	11.125413470483315	False	False
ENSMUSG00000103025.2	ENSMUSG00000103025	2309	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.321928094887362	11.17367713630342	False	False
ENSMUSG00000089699.2	ENSMUSG00000089699	250	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.321928094887362	7.971543553950772	False	False
ENSMUSG00000103201.2	ENSMUSG00000103201	2057	6	0	0	0	2	3	6.0	0.44017491083706967	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.18701792622928284	3.0	0.23197756622282914	2.433426633457555	-0.20994490716912712	0.0	-3.321928094887362	11.007027266893969	False	False
ENSMUSG00000103147.2	ENSMUSG00000103147	926	0	0	1	0	0	0	0.0	0.0	0.0	0.0	1.0	0.08104857403138849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8563768139533017	0.027016191343796164	-2.9769156791301907	9.85642552862553	False	False
ENSMUSG00000103161.2	ENSMUSG00000103161	3012	17	0	9	13	0	0	17.0	1.2471622473716972	0.0	0.0	9.0	0.7294371662824963	13.0	1.3334992343149974	0.0	0.0	0.0	0.0	3.751851709148971	0.7893365343982679	0.6876454668658312	-0.3443817016156572	11.556984957594462	False	False
ENSMUSG00000102331.2	ENSMUSG00000102331	3259	2	0	0	0	0	0	2.0	0.1467249702790232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3029037337762213	0.0	0.0	-3.321928094887362	11.67065624911844	False	False
ENSMUSG00000102348.2	ENSMUSG00000102348	1634	0	0	1	0	0	1	0.0	0.0	0.0	0.0	1.0	0.08104857403138849	0.0	0.0	0.0	0.0	1.0	0.07732585540760971	0.0	-1.682779721023479	0.027016191343796164	-2.9769156791301907	10.675074920385445	False	False
ENSMUSG00000102592.2	ENSMUSG00000102592	2351	4	0	0	1	0	0	4.0	0.2934499405580464	0.0	0.0	0.0	0.0	1.0	0.10257686417807671	0.0	0.0	0.0	0.0	1.9761800903634021	1.0184694167773019	0.0341922880593589	-2.8976263316817077	11.199672344836364	False	False
ENSMUSG00000088333.4	ENSMUSG00000088333	58	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.321928094887362	5.882643049361842	False	False
ENSMUSG00000102343.2	ENSMUSG00000102343	1364	67	31	207	157	1	2	67.0	4.915286504347277	31.0	5.960580183647398	207.0	16.77705482449742	157.0	16.104567675958048	1.0	0.09350896311464142	2.0	0.15465171081521942	-0.2731237916285585	-0.454787651118536	12.947400894700955	3.70569053848086	10.414685235807214	False	False
ENSMUSG00000025900.14	ENSMUSG00000025900	12311	9	1	0	0	0	1	9.0	0.6602623662556044	1.0	0.192276780117658	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.07732585540760971	1.379162158979708	-0.8264029070701772	0.06409226003921933	-2.607420903972246	13.58777751632821	False	False
ENSMUSG00000102948.2	ENSMUSG00000102948	1867	60	1	1	2	0	0	60.0	4.401749108370696	1.0	0.192276780117658	1.0	0.08104857403138849	2.0	0.20515372835615342	0.0	0.0	0.0	0.0	3.9450785305741727	0.7531594033564899	0.1594930275017333	-1.9462323205578262	10.867278739709661	False	False
ENSMUSG00000104123.2	ENSMUSG00000104123	1484	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.321928094887362	10.536247215688128	False	False
ENSMUSG00000025902.14	ENSMUSG00000025902	4772	6	1	8	5	2	3	6.0	0.44017491083706967	1.0	0.192276780117658	8.0	0.6483885922511079	5.0	0.5128843208903836	2.0	0.18701792622928284	3.0	0.23197756622282914	0.8860914144392799	-0.4981176772694162	0.4511832310863832	-0.859396097985436	12.220680621052203	False	False
ENSMUSG00000104238.2	ENSMUSG00000104238	2917	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.321928094887362	11.510764167917891	False	False
ENSMUSG00000102269.2	ENSMUSG00000102269	2991	8	73	28	11	2	9	8.0	0.5868998811160928	73.0	14.036204948589035	28.0	2.269360072878878	11.0	1.1283455059588439	2.0	0.18701792622928284	9.0	0.6959326986684874	-4.363151216525838	-2.419286647626262	5.8113035091422525	2.5634762960232824	11.546894459887637	False	False
ENSMUSG00000118917.1	ENSMUSG00000118917	107	15	0	0	0	1	1	15.0	1.100437277092674	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.09350896311464142	1.0	0.07732585540760971	3.5854881195374393	0.12599748483730674	0.0	-3.321928094887362	6.754887502163468	False	False
ENSMUSG00000103003.2	ENSMUSG00000103003	450	4	0	0	0	0	0	4.0	0.2934499405580464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9761800903634021	0.0	0.0	-3.321928094887362	8.81698362325538	False	False
ENSMUSG00000104328.2	ENSMUSG00000104328	2773	0	0	0	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.20515372835615342	0.0	0.0	0.0	0.0	0.0	1.6095362173097916	0.0683845761187178	-2.5701681000468057	11.437752072323603	False	False
ENSMUSG00000102735.2	ENSMUSG00000102735	936	9	2	0	0	1	1	9.0	0.6602623662556044	2.0	0.384553560235316	0.0	0.0	0.0	0.0	1.0	0.09350896311464142	1.0	0.07732585540760971	0.6498412349270107	0.12599748483730674	0.12818452007843867	-2.1317271716375243	9.871905237659186	False	False
ENSMUSG00000098104.2	ENSMUSG00000098104	1470	29	63	26	15	2	7	29.0	2.1275120690458365	63.0	12.113437147412455	26.0	2.107262924816101	15.0	1.538652962671151	2.0	0.18701792622928284	7.0	0.5412809878532681	-2.454964112005141	-1.5895639311723921	5.253117678299902	2.4203793679590144	10.522581531254831	False	False
ENSMUSG00000102175.2	ENSMUSG00000102175	1206	4	3	0	0	0	1	4.0	0.2934499405580464	3.0	0.5768303403529741	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.07732585540760971	-0.782614151403675	-0.8264029070701772	0.19227678011765803	-1.774592875869087	10.237209960755022	False	False
ENSMUSG00002075947.1	ENSMUSG00002075947	103	3	0	0	0	0	0	3.0	0.22008745541853483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6784661371768221	0.0	0.0	-3.321928094887362	6.700439718141092	False	False
ENSMUSG00000103265.2	ENSMUSG00000103265	631	5	107	3	0	1	0	5.0	0.36681242569755806	107.0	20.573615472589406	3.0	0.2431457220941655	0.0	0.0	1.0	0.09350896311464142	0.0	0.0	-5.468803940572256	-0.826420977193354	6.938920398227857	2.8153541709703758	9.303780748177102	False	False
