Geneid	Chr	Start	End	Strand	Length	CLIP-35L33G.bam	RNA-control.bam	RNA-siLin28a.bam	RNA-siLuc.bam	RPF-siLin28a.bam	RPF-siLuc.bam	gene_name	gene_type	CPM_CLIP	CPM_RNA_control	CPM_RNA_siLin28a	CPM_RNA_siLuc	CPM_RPF_siLin28a	CPM_RPF_siLuc	CLIP_enrichment	RNA_log2FC	RPF_log2FC	TE_log2FC	library_size_normalized	pseudocount_cpm	is_protein_coding	is_non_histone	pass_rna_count_filter	pass_rpf_count_filter	pass_finite_metric_filter	pass_base_filter	CLIP_group	is_top20_clip
ENSMUSG00000033845.14	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4843429;4843434;4844659;4846600;4847748;4847748;4847748;4847748;4850190;4851444;4852791;4852791;4852791;4852791;4852791;4853795;4854174;4854174;4854174;4854174;4855796;4855796;4855796;4855796;4855796;4855796	4844739;4847024;4844739;4847024;4847871;4847871;4847871;4847871;4854789;4852524;4852956;4852829;4852956;4852956;4852956;4854328;4854328;4854328;4854328;4854328;4855915;4855962;4855921;4855962;4855962;4855933	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8487	4014	1355	3022	2563	1859	3191	Mrpl15	protein_coding	294.47702	260.53504	244.92879	262.9045	173.83316	246.7468	0.17661383	-0.10213623	-0.50508294	-0.40294672	True	0.1	True	True	True	True	True	True	20-50%	False
ENSMUSG00000033813.16	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4928037;4928261;4937693;4937693;4948250;4948250;4956967;4956967;4959680;4959680;4960963;4960963;4962138;4962138;4963640;4963640;4965157;4965157;4966579;4966579	4928199;4928726;4937755;4937755;4948355;4948355;4957054;4957054;4959825;4959825;4961019;4961019;4962292;4962292;4963786;4963786;4965228;4965228;4968132;4968128	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3017	1658	762	2130	2225	328	609	Tcea1	protein_coding	121.635	146.51491	172.63346	228.23352	30.67094	47.091446	-0.26828777	-0.40259509	-0.61695686	-0.21436178	True	0.1	True	True	True	True	True	True	20-50%	False
ENSMUSG00000033793.13	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	5140241;5153303;5153333;5153347;5153355;5153355;5153377;5153387;5154640;5154640;5154640;5154640;5154640;5154640;5154640;5159232;5159232;5159232;5159232;5159232;5159232;5159232;5163586;5163586;5163586;5163586;5163586;5163586;5163586;5165838;5165838;5165838;5165838;5165838;5165838;5168252;5168252;5168252;5168252;5168252;5171293;5171293;5171293;5187613;5187613;5187613;5187613;5194500;5194500;5194500;5194500;5203307;5203307;5203307;5203307;5206035;5206035;5206035;5213973;5213973;5213973;5213973;5220171;5220171;5220171;5232328;5232328;5232328	5140367;5153501;5153848;5153501;5153501;5153501;5153501;5153501;5154786;5154786;5157002;5154786;5154786;5154786;5154786;5159334;5159334;5159334;5159334;5159334;5159334;5159334;5163675;5163675;5163675;5165951;5163675;5163675;5163675;5165951;5165951;5165882;5165951;5165951;5165951;5170000;5168356;5168356;5168356;5168356;5171346;5171346;5171346;5187710;5187710;5187710;5187710;5194692;5194692;5194692;5194692;5203485;5203485;5203485;5203485;5206160;5206160;5206160;5214074;5215275;5214074;5214074;5220284;5220284;5220284;5232642;5232752;5232563	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9746	1111	474	1260	1031	603	1128	Atp6v1h	protein_coding	81.505721	91.139194	102.1212	105.75675	56.385905	87.223565	-0.1609834	-0.050418746	-0.62848012	-0.57806137	True	0.1	True	True	True	True	True	True	20-50%	False
ENSMUSG00000025907.15	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	6276421;6276451;6284869;6284887;6285232;6293823;6298164;6298164;6298164;6298164;6298164;6298226;6300183;6300183;6300183;6300183;6300183;6300183;6304185;6304185;6304185;6304185;6304185;6304453;6304453;6304453;6304453;6304503;6308486;6308486;6308486;6308486;6310176;6310176;6310176;6310529;6311194;6314329;6314329;6314329;6315019;6315019;6315019;6315019;6315382;6315382;6315382;6315382;6315649;6315649;6315649;6315649;6315822;6315822;6315822;6315822;6317930;6317930;6317930;6317930;6318290;6318290;6318290;6318290;6318500;6318500;6318500;6318500;6319312;6320201;6320319;6321155;6331009;6331154;6331154;6331154;6331154;6333058;6333058;6333058;6333058;6333058;6333127;6333157;6333248;6333248;6333248;6333248;6333248;6333248;6334766;6334766;6334766;6334766;6334766;6335798;6335798;6335798;6335798;6335798;6335830;6338922;6338922;6338922;6338922;6338922;6340902;6340915;6340915;6340915;6340915;6340915;6342925;6342925;6342925;6342925;6342925;6344422;6344422;6344422;6344422;6344422	6276494;6276494;6285181;6285181;6285476;6293969;6298273;6298273;6298273;6298273;6298273;6298273;6300297;6300297;6300928;6300297;6300297;6300297;6304311;6304234;6304311;6304311;6304311;6304623;6304623;6304623;6304535;6304623;6308688;6308688;6308688;6308608;6310414;6310602;6310602;6310602;6314499;6314499;6314499;6314499;6315203;6315203;6315152;6315203;6315568;6315568;6315568;6315568;6315730;6315730;6315730;6315730;6315883;6315883;6315883;6315883;6318033;6318033;6318033;6318033;6318416;6318416;6318416;6318416;6318582;6320391;6319253;6320391;6320391;6320391;6320391;6321482;6331319;6331319;6331319;6331319;6331319;6333078;6333166;6333166;6333166;6333166;6333166;6333166;6333488;6333488;6333488;6333488;6333488;6333488;6334814;6335117;6334814;6334814;6334814;6335845;6336034;6335845;6335845;6335845;6335845;6338980;6338980;6338980;6338980;6338980;6341051;6342989;6341042;6341051;6341051;6341051;6342995;6342995;6342995;6342995;6342995;6345799;6344713;6344714;6345801;6346872	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	14690	1520	280	694	903	132	251	Rb1cc1	protein_coding	111.51098	53.837498	56.24771	92.626908	12.343183	19.40879	1.0491184	-0.71863106	-0.64876869	0.06986238	True	0.1	True	True	True	True	True	True	5-20%	True
ENSMUSG00000051285.18	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	7159144;7159154;7159328;7159390;7190418;7217861;7217861;7217861;7217861;7225091;7225304;7225304;7230309;7230781;7231116;7231116;7231116;7231116;7231116;7233472;7233472;7233472;7233472;7233472;7233472;7236533;7239739;7239739;7239739;7239739;7239739;7239739	7159440;7159440;7159440;7159440;7190839;7217963;7217963;7217963;7217963;7225495;7225495;7225495;7231287;7231287;7231287;7231287;7231126;7231287;7231287;7233595;7233595;7233595;7233595;7233595;7233595;7236742;7242883;7242842;7242346;7240300;7239822;7243852	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6654	3508	529	2360	1775	208	138	Pcmtd1	protein_coding	257.3556	101.71442	191.27463	182.07393	19.449864	10.670968	1.3383818	0.071083076	0.86001068	0.7889276	True	0.1	True	True	True	True	True	True	5-20%	True
ENSMUSG00000061024.9	chr1	9615633	9617680	+	2048	834	418	1495	1084	508	867	Rrs1	protein_coding	61.184313	80.371694	121.16762	111.19332	47.502553	67.041517	-0.39296358	0.12382735	-0.49616617	-0.61999352	True	0.1	True	True	True	True	True	True	20-50%	False
ENSMUSG00000045210.9	chr1;chr1;chr1	9788847;9807191;9815675	9795575;9807277;9818607	-;-;-	9749	1278	405	1007	966	230	410	Vcpip1	protein_coding	93.757256	77.872096	81.615914	99.089251	21.507062	31.703601	0.26751037	-0.27956671	-0.55768723	-0.27812051	True	0.1	True	True	True	True	True	True	20-50%	False
ENSMUSG00000025917.10	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	10094826;10095068;10097328;10097328;10097423;10100824;10100824;10100824;10100912;10101145;10102564;10102564;10102564;10103265;10103483;10103483;10103483;10103483;10103483;10104233;10104233;10104233;10104233;10104233;10104233;10105154;10105154;10105154;10105154;10105154;10105154;10107505;10107887;10107895;10107895;10108144;10108144	10095288;10095288;10097476;10097476;10097476;10100935;10100935;10100935;10100935;10102649;10102649;10102649;10102649;10103548;10103548;10103548;10103548;10103548;10103548;10104361;10104361;10104361;10104361;10104361;10104361;10105388;10105388;10105388;10105388;10105353;10105388;10108170;10108166;10108163;10108352;10108393;10108374	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3766	1058	866	1748	1563	680	1424	Cops5	protein_coding	77.617509	166.51169	141.67291	160.32764	63.586095	110.11202	-1.1001781	-0.17834085	-0.79123123	-0.61289038	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000056763.17	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	10108212;10108231;10108442;10108451;10108474;10108487;10109992;10109998;10109998;10110002;10110010;10110048;10110380;10115301;10115301;10115301;10115301;10115301;10115301;10115301;10115301;10115301;10115301;10115301;10115301;10116718;10117649;10117649;10117649;10117649;10117649;10117649;10117649;10117649;10117649;10117649;10117649;10117649;10117649;10127149;10128945;10128945;10128945;10128945;10128945;10128945;10128945;10128945;10128945;10128945;10128945;10128945;10128945;10130049;10130049;10130049;10134558;10134558;10134558;10134558;10134558;10134558;10134558;10135548;10135548;10135548;10135548;10135548;10135548;10135548;10136651;10136651;10136651;10136651;10136651;10136651;10136651;10141408;10144607;10145085;10145085;10145085;10145138;10147397;10147397;10147397;10147397;10147397;10152478;10152478;10152478;10152478;10152478;10153726;10153726;10153726;10153726;10153726;10155972;10155972;10155972;10157972;10158276;10158276;10158276;10159107;10159107;10159107;10159107;10160413;10160413;10160413;10160413;10166089;10166091;10166091;10174437;10174453;10178594;10178594;10178594;10178594;10182618;10182618;10183101;10183101;10183101;10183828;10183828;10183828;10185650;10186243;10186243;10186243;10186839;10186839;10186839;10186839;10196209;10196565;10196565;10196565;10197648;10197648;10197648;10197648;10200184;10200211;10200211;10200211;10200211;10202679;10202679;10202679;10202679;10203389;10203389;10203389;10203389;10204195;10204317;10204317;10204317;10206159;10206159;10206159	10109567;10108355;10108569;10108569;10108569;10108569;10110104;10110104;10110112;10110104;10110104;10110104;10110508;10115409;10115409;10115409;10115409;10115409;10115409;10115418;10115409;10115409;10115409;10115409;10115409;10116780;10117751;10117751;10117751;10117751;10117751;10117751;10117751;10117751;10117751;10117751;10117751;10117751;10117759;10127172;10129048;10129048;10129048;10129048;10129083;10129048;10129048;10129097;10129048;10129048;10129273;10131996;10129048;10130072;10130216;10130072;10134638;10134638;10134638;10134638;10134638;10134638;10134638;10135646;10135646;10135646;10135646;10135646;10135646;10135646;10136800;10137045;10137327;10138558;10138201;10137343;10137045;10146416;10145171;10145171;10145171;10145171;10145171;10147467;10147467;10147467;10147467;10147467;10152571;10152571;10152571;10152571;10152571;10153783;10154298;10153783;10153783;10153783;10156042;10156177;10156177;10158409;10158409;10158409;10158409;10159185;10159185;10159185;10159185;10160542;10160480;10160542;10160542;10166238;10166238;10166238;10174589;10174589;10178779;10178768;10178706;10178706;10182767;10182767;10183247;10183247;10183247;10183932;10183932;10183932;10186309;10186309;10186309;10186309;10186956;10186956;10186956;10186956;10196704;10196704;10196704;10196704;10197788;10197788;10197788;10197788;10200257;10200243;10200310;10200257;10200257;10202742;10202742;10202742;10202742;10203686;10203498;10203498;10203498;10204455;10204398;10204455;10204455;10206547;10206370;10206993	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	17553	2278	435	1273	1093	407	604	Cspp1	protein_coding	167.11974	83.640399	103.17483	112.11651	38.058148	46.704817	0.99774947	-0.11979623	-0.29466585	-0.17486962	True	0.1	True	True	True	True	True	True	5-20%	True
ENSMUSG00000067851.12	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	10207796;10208915;10210692;10210692;10211784;10211784;10212801;10214943;10217628;10217630;10222026;10222026;10223611;10223611;10223832;10223832;10224506;10224506;10226624;10227139;10228125;10229793;10230102;10230102;10230926;10230982;10231188;10231188;10233922;10243059;10243300;10243419;10244292;10244292;10250051;10250051;10251095;10251095;10253888;10253888;10254201;10254201;10254611;10254611;10258982;10258982;10259452;10259452;10259664;10259664;10264482;10264482;10269068;10269068;10269954;10269954;10275033;10275033;10279171;10279386;10279650;10279650;10283269;10283269;10283269;10284350;10284350;10284350;10286062;10286062;10286754;10286754;10302596;10302596	10209221;10209221;10210809;10210809;10211926;10211922;10212969;10215082;10217760;10217760;10222098;10222098;10223749;10223749;10223967;10223967;10224755;10224635;10229965;10227269;10228285;10229965;10230285;10230253;10231095;10231095;10231531;10231228;10234012;10243209;10243577;10243577;10244420;10244420;10250202;10250202;10251266;10251266;10253972;10253972;10254406;10254406;10254722;10254722;10259183;10259183;10259560;10259560;10259903;10259903;10264716;10264716;10269201;10269201;10270129;10270129;10275134;10275134;10280332;10279926;10279926;10279926;10283448;10283448;10283448;10284438;10284496;10284496;10286218;10286218;10286784;10286784;10302895;10302895	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	11318	3462	520	1865	1486	402	352	Arfgef1	protein_coding	253.98092	99.983926	151.15559	152.42922	37.590603	27.218701	1.3440778	-0.012097181	0.46431599	0.47641317	True	0.1	True	True	True	True	True	True	5-20%	True
