gene_id	gene_id_base	featurecounts_gene_length	CLIP-35L33G.bam	RNA-control.bam	RNA-siLin28a.bam	RNA-siLuc.bam	RPF-siLin28a.bam	RPF-siLuc.bam	CLIP-35L33G_raw	CLIP-35L33G_cpm	RNA-control_raw	RNA-control_cpm	RNA-siLin28a_raw	RNA-siLin28a_cpm	RNA-siLuc_raw	RNA-siLuc_cpm	RPF-siLin28a_raw	RPF-siLin28a_cpm	RPF-siLuc_raw	RPF-siLuc_cpm	total_CLIP_enrichment_featureCounts	delta_rd	rna_expression_cpm	log_rna_expression	log_featurecounts_gene_length	response_eligible	baseline_eligible	gene_name	transcript_id	clip_points_3utr	clip_points_5utr	clip_points_cds	rna_control_reads_3utr	rna_control_reads_5utr	rna_control_reads_cds	region_length_3utr	region_length_5utr	region_length_cds	chrom	strand	transcript_length	cds_length	utr_length	clip_points_5utr_cpm	rna_control_reads_5utr_cpm	E_5utr	clip_points_cds_cpm	rna_control_reads_cds_cpm	E_cds	clip_points_3utr_cpm	rna_control_reads_3utr_cpm	E_3utr	clip_points_total	rna_control_total	clip_points_total_cpm	rna_control_total_cpm	total_CLIP_amount_point	f_5utr	raw_f_5utr	f_cds	raw_f_cds	f_3utr	raw_f_3utr	has_all_regions	composition_eligible	log_transcript_length
ENSMUSG00000051951.6	ENSMUSG00000051951	6094	4	1	1	1	0	0	4.0	0.2934499405580464	1.0	0.192276780117658	1.0	0.08104857403138849	1.0	0.10257686417807671	0.0	0.0	0.0	0.0	0.42884487134512683	0.16209260282400012	0.12530073944237438	-2.1500760463468844	12.573410505507574	False	False	Xkr4	ENSMUST00000070533.5	0	0	0	0	0	0	1543	150	1941	chr1	-	3634	1941	1693	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0	0	0.0	0.0	0.0	0.3333333333333333		0.3333333333333333		0.3333333333333333		True	False	11.827739648806956
ENSMUSG00000025900.14	ENSMUSG00000025900	12311	9	1	0	0	0	1	9.0	0.6602623662556044	1.0	0.192276780117658	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.07732585540760971	1.379162158979708	-0.8264029070701772	0.06409226003921933	-2.607420903972246	13.58777751632821	False	False	Rp1	ENSMUST00000027032.6	0	0	4	0	0	0	457	127	6285	chr1	-	6869	6285	584	0.0	0.0	1.0	0.2127424426172469	0.0	3.1274244261724693	0.0	0.0	1.0	4	0	0.2127424426172469	0.0	1.6449750222636652	0.19502969071481413	0.0	0.6099406185703717	1.0	0.19502969071481413	0.0	True	False	12.746094383705463
ENSMUSG00000025902.14	ENSMUSG00000025902	4772	6	1	8	5	2	3	6.0	0.44017491083706967	1.0	0.192276780117658	8.0	0.6483885922511079	5.0	0.5128843208903836	2.0	0.18701792622928284	3.0	0.23197756622282914	0.8860914144392799	-0.4981176772694162	0.4511832310863832	-0.859396097985436	12.220680621052203	False	False	Sox17	ENSMUST00000027035.10	0	2	0	0	0	1	788	1082	1257	chr1	-	3127	1257	1870	0.10637122130862345	0.0	2.063712213086234	0.0	0.12494961406812703	0.44454399450409615	0.0	0.0	1.0	2	1	0.10637122130862345	0.12494961406812703	-0.12436009238385405	0.5882444413897892	1.0	0.12671366291387087	0.0	0.2850418956963399	0.0	True	False	11.611024797307353
ENSMUSG00000033845.14	ENSMUSG00000033845	8487	4014	1355	3022	2563	1859	3191	4014.0	294.47701534999953	1355.0	260.5350370594266	3022.0	244.928790722856	2563.0	262.9045028884106	1859.0	173.8331624301184	3191.0	246.7468046056826	0.17661382928511205	-0.40294671872608673	256.122776890231	8.001254919341843	13.051208940914766	True	True	Mrpl15	ENSMUST00000156816.7	907	3	2973	300	23	1173	3256	62	885	chr1	-	4203	885	3318	0.15955683196293516	2.8738411235669217	0.08727999283687835	158.12082047526874	146.565897301913	1.0787839803657278	48.239348863460734	37.48488422043811	1.2861380277227115	3883	1496	206.5197261706924	186.92462264591802	0.14374977615900328	0.035592497193927736	0.0007725985063095545	0.439924598364514	0.7656451197527685	0.5244829044415583	0.23358228174092197	True	True	12.037546953962178
ENSMUSG00000025903.15	ENSMUSG00000025903	7145	2045	574	1219	1236	33	44	2045.0	150.02628211030122	574.0	110.3668717875357	1219.0	98.79821174426257	1236.0	126.78500412410283	33.0	3.085795782783167	44.0	3.4023376379348274	0.44256278619029843	0.22284085294659106	111.98336255196703	6.808428332814183	12.80292019858527	True	True	Lypla1	ENSMUST00000027036.11	1919	1	1073	505	4	464	1726	91	690	chr1	+	2507	690	1817	0.053185610654311724	0.49979845627250813	0.2553951399046524	57.06816023207648	57.97662092761094	0.9843575490270551	102.06318684562419	63.099555104404146	1.616517500429442	2993	973	159.18453268835498	121.5759744882876	0.3885618518452907	0.08941560950918849	0.0003341129301703976	0.34463040390699956	0.3585031740728366	0.565953986583812	0.641162712996993	True	False	11.29232163280204
ENSMUSG00000033813.16	ENSMUSG00000033813	3017	1658	762	2130	2225	328	609	1658.0	121.63500036131023	762.0	146.5149064496554	2130.0	172.63346268685748	2225.0	228.2335227962207	328.0	30.670939901602384	609.0	47.09144594323432	-0.2682877699664199	-0.21436177535798792	182.4606306442445	7.512231870222068	11.559377090526683	True	True	Tcea1	ENSMUST00000081551.14	1092	19	555	657	66	1272	1544	100	903	chr1	+	2547	903	1644	1.0105266024319226	8.246674528496385	0.1330501864713274	29.518013913143005	158.93590909465757	0.18623475717999308	58.078686834508396	82.09189644275946	0.7078396940874278	1666	1995	88.60722735008332	249.27448006591342	-1.491190276539664	0.12953655436037653	0.011404561824729893	0.18131660982253875	0.33313325330132054	0.6891468358170848	0.6554621848739496	True	True	11.3151495622563
ENSMUSG00000002459.18	ENSMUSG00000002459	4239	5	1	1	8	3	2	5.0	0.36681242569755806	1.0	0.192276780117658	1.0	0.08104857403138849	8.0	0.8206149134246137	3.0	0.2805268893439243	2.0	0.15465171081521942	0.6755077444555615	2.925693993098256	0.3646467558578867	-1.1057937598316154	12.049848549450562	False	False	Rgs20	ENSMUST00000002533.15	5	0	0	2	0	0	901	160	717	chr1	-	1778	717	1061	0.0	0.0	1.0	0.0	0.0	1.0	0.2659280532715586	0.24989922813625406	1.0458098327929515	5	2	0.2659280532715586	0.24989922813625406	0.06462053970257571	0.3283199066578029	0.0	0.3283199066578029	0.0	0.3433601866843943	1.0	True	False	10.79685079526716
ENSMUSG00000033793.13	ENSMUSG00000033793	9746	1111	474	1260	1031	603	1128	1111.0	81.50572098999739	474.0	91.1391937757699	1260.0	102.1212032795495	1031.0	105.7567469675971	603.0	56.38590475812878	1128.0	87.22356489978375	-0.16098340225609797	-0.5780613734196196	99.67238134097217	6.640568603668047	13.250742529050639	True	True	Atp6v1h	ENSMUST00000044369.13	38	37	880	50	71	476	367	233	1449	chr1	+	2049	1449	600	1.9678675942095338	8.87142259883702	0.23049494898140177	46.803337375794314	59.47601629642846	0.7872855603909544	2.021053204863845	6.247480703406351	0.33415669995272146	955	597	50.79225817486769	74.59491959867184	-0.5535639134043361	0.17049234786316064	0.0387434554973822	0.5823388504736754	0.9214659685863874	0.24716880166316393	0.039790575916230364	True	True	11.001408194392809
ENSMUSG00000025905.15	ENSMUSG00000025905	9151	49	1	20	20	8	7	49.0	3.594761771836069	1.0	0.192276780117658	20.0	1.62097148062777	20.0	2.0515372835615344	8.0	0.7480717049171314	7.0	0.5412809878532681	3.660074222197054	0.7253742655241325	1.288261848102321	0.47327970864386715	13.159871336778389	False	False	Oprk1	ENSMUST00000160777.8	19	10	9	2	0	0	3350	185	1140	chr1	+	4675	1140	3535	0.5318561065431172	0.0	6.3185610654311715	0.4786704958888055	0.0	5.786704958888055	1.0105266024319226	0.24989922813625406	3.1738469625873913	38	2	2.021053204863845	0.24989922813625406	2.5997694229670287	0.4135424007169683	0.2631578947368421	0.3787330431973997	0.23684210526315788	0.20772455608563195	0.5	True	False	12.191059214531656
ENSMUSG00000033774.5	ENSMUSG00000033774	3692	0	1	2	1	1	0	0.0	0.0	1.0	0.192276780117658	2.0	0.16209714806277697	1.0	0.10257686417807671	1.0	0.09350896311464142	0.0	0.0	-1.5473352190182752	0.5807681532178974	0.15231693078617056	-1.9866910786574858	11.850577547205614	False	False	Npbwr1	ENSMUST00000044180.5	0	0	0	1	0	0	2600	105	987	chr1	-	3692	987	2705	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.12494961406812703	0.44454399450409615	0	1	0.0	0.12494961406812703	-1.1696018917781419	0.40907424953211424		0.40907424953211424		0.18185150093577146		True	False	11.850577547205614
