gene_id_base	gene_name	transcript_id	region	clip_points	region_length	rna_control_reads
ENSMUSG00000000001	Gnai3	ENSMUST00000000001.5	3utr	1076	2059	400
ENSMUSG00000000001	Gnai3	ENSMUST00000000001.5	5utr	7	141	24
ENSMUSG00000000001	Gnai3	ENSMUST00000000001.5	cds	890	1062	393
ENSMUSG00000000003	Pbsn	ENSMUST00000000003.14	3utr	0	240	0
ENSMUSG00000000003	Pbsn	ENSMUST00000000003.14	5utr	0	140	0
ENSMUSG00000000003	Pbsn	ENSMUST00000000003.14	cds	0	522	1
ENSMUSG00000000028	Cdc45	ENSMUST00000000028.14	3utr	0	132	40
ENSMUSG00000000028	Cdc45	ENSMUST00000000028.14	5utr	0	313	22
ENSMUSG00000000028	Cdc45	ENSMUST00000000028.14	cds	507	1698	665
ENSMUSG00000000037	Scml2	ENSMUST00000077375.5	3utr	0	430	0
ENSMUSG00000000037	Scml2	ENSMUST00000077375.5	5utr	0	213	1
ENSMUSG00000000037	Scml2	ENSMUST00000077375.5	cds	58	2907	107
ENSMUSG00000000049	Apoh	ENSMUST00000000049.6	3utr	0	104	0
ENSMUSG00000000049	Apoh	ENSMUST00000000049.6	5utr	0	51	0
ENSMUSG00000000049	Apoh	ENSMUST00000000049.6	cds	2	1035	0
ENSMUSG00000000056	Narf	ENSMUST00000103015.4	3utr	114	2937	88
ENSMUSG00000000056	Narf	ENSMUST00000103015.4	5utr	0	72	10
ENSMUSG00000000056	Narf	ENSMUST00000103015.4	cds	115	1386	128
ENSMUSG00000000058	Cav2	ENSMUST00000000058.7	3utr	0	2071	1
ENSMUSG00000000058	Cav2	ENSMUST00000000058.7	5utr	0	176	0
ENSMUSG00000000058	Cav2	ENSMUST00000000058.7	cds	0	486	0
ENSMUSG00000000078	Klf6	ENSMUST00000000080.8	3utr	382	3114	101
ENSMUSG00000000078	Klf6	ENSMUST00000000080.8	5utr	3	157	4
ENSMUSG00000000078	Klf6	ENSMUST00000000080.8	cds	210	954	79
ENSMUSG00000000085	Scmh1	ENSMUST00000000087.13	3utr	34	928	13
ENSMUSG00000000085	Scmh1	ENSMUST00000000087.13	5utr	3	433	22
ENSMUSG00000000085	Scmh1	ENSMUST00000000087.13	cds	48	1992	75
ENSMUSG00000000088	Cox5a	ENSMUST00000000090.8	3utr	474	158	473
ENSMUSG00000000088	Cox5a	ENSMUST00000000090.8	5utr	9	49	53
ENSMUSG00000000088	Cox5a	ENSMUST00000000090.8	cds	1533	438	1107
ENSMUSG00000000093	Tbx2	ENSMUST00000000095.7	3utr	0	937	1
ENSMUSG00000000093	Tbx2	ENSMUST00000000095.7	5utr	0	556	1
ENSMUSG00000000093	Tbx2	ENSMUST00000000095.7	cds	0	2133	2
ENSMUSG00000000094	Tbx4	ENSMUST00000000096.12	3utr	0	1355	1
ENSMUSG00000000094	Tbx4	ENSMUST00000000096.12	cds	16	1656	0
ENSMUSG00000000103	Zfy2	ENSMUST00000187148.7	3utr	0	287	0
ENSMUSG00000000103	Zfy2	ENSMUST00000187148.7	5utr	0	228	0
ENSMUSG00000000103	Zfy2	ENSMUST00000187148.7	cds	0	2331	1
ENSMUSG00000000120	Ngfr	ENSMUST00000000122.7	3utr	318	1988	83
ENSMUSG00000000120	Ngfr	ENSMUST00000000122.7	5utr	1	177	6
ENSMUSG00000000120	Ngfr	ENSMUST00000000122.7	cds	112	1281	114
ENSMUSG00000000125	Wnt3	ENSMUST00000000127.6	3utr	2	1892	0
ENSMUSG00000000125	Wnt3	ENSMUST00000000127.6	5utr	0	119	0
ENSMUSG00000000125	Wnt3	ENSMUST00000000127.6	cds	0	1065	0
ENSMUSG00000000126	Wnt9a	ENSMUST00000108783.4	3utr	4	2180	1
ENSMUSG00000000126	Wnt9a	ENSMUST00000108783.4	5utr	0	43	0
ENSMUSG00000000126	Wnt9a	ENSMUST00000108783.4	cds	10	1095	1
ENSMUSG00000000127	Fer	ENSMUST00000000129.14	3utr	4	449	18
ENSMUSG00000000127	Fer	ENSMUST00000000129.14	5utr	10	55	5
ENSMUSG00000000127	Fer	ENSMUST00000000129.14	cds	397	2469	172
ENSMUSG00000000131	Xpo6	ENSMUST00000009344.16	3utr	24	576	150
ENSMUSG00000000131	Xpo6	ENSMUST00000009344.16	5utr	17	507	70
ENSMUSG00000000131	Xpo6	ENSMUST00000009344.16	cds	712	3372	1034
ENSMUSG00000000134	Tfe3	ENSMUST00000077680.10	3utr	261	1274	182
ENSMUSG00000000134	Tfe3	ENSMUST00000077680.10	5utr	6	287	3
ENSMUSG00000000134	Tfe3	ENSMUST00000077680.10	cds	60	1716	411
ENSMUSG00000000142	Axin2	ENSMUST00000052915.14	3utr	26	1391	33
ENSMUSG00000000142	Axin2	ENSMUST00000052915.14	5utr	2	349	4
ENSMUSG00000000142	Axin2	ENSMUST00000052915.14	cds	112	2520	80
ENSMUSG00000000148	Brat1	ENSMUST00000041588.13	3utr	6	785	31
ENSMUSG00000000148	Brat1	ENSMUST00000041588.13	5utr	0	82	4
ENSMUSG00000000148	Brat1	ENSMUST00000041588.13	cds	57	2466	166
ENSMUSG00000000149	Gna12	ENSMUST00000000153.9	3utr	226	2144	285
ENSMUSG00000000149	Gna12	ENSMUST00000000153.9	5utr	0	135	0
ENSMUSG00000000149	Gna12	ENSMUST00000000153.9	cds	58	1137	117
ENSMUSG00000000154	Slc22a18	ENSMUST00000105917.3	3utr	0	56	0
ENSMUSG00000000154	Slc22a18	ENSMUST00000105917.3	5utr	0	266	3
ENSMUSG00000000154	Slc22a18	ENSMUST00000105917.3	cds	8	1230	33
ENSMUSG00000000157	Itgb2l	ENSMUST00000000161.14	3utr	0	336	0
ENSMUSG00000000157	Itgb2l	ENSMUST00000000161.14	5utr	0	83	0
ENSMUSG00000000157	Itgb2l	ENSMUST00000000161.14	cds	0	2214	0
ENSMUSG00000000159	Igsf5	ENSMUST00000081093.10	3utr	0	673	0
ENSMUSG00000000159	Igsf5	ENSMUST00000081093.10	5utr	0	71	0
ENSMUSG00000000159	Igsf5	ENSMUST00000081093.10	cds	0	810	1
ENSMUSG00000000167	Pih1d2	ENSMUST00000000171.15	3utr	0	6	0
ENSMUSG00000000167	Pih1d2	ENSMUST00000000171.15	5utr	0	305	4
ENSMUSG00000000167	Pih1d2	ENSMUST00000000171.15	cds	20	945	5
ENSMUSG00000000168	Dlat	ENSMUST00000034567.4	3utr	211	1795	107
ENSMUSG00000000168	Dlat	ENSMUST00000034567.4	5utr	0	314	17
ENSMUSG00000000168	Dlat	ENSMUST00000034567.4	cds	429	1926	539
ENSMUSG00000000171	Sdhd	ENSMUST00000000175.6	3utr	1091	731	346
ENSMUSG00000000171	Sdhd	ENSMUST00000000175.6	5utr	4	23	16
ENSMUSG00000000171	Sdhd	ENSMUST00000000175.6	cds	70	477	704
ENSMUSG00000000182	Fgf23	ENSMUST00000000186.9	3utr	0	933	0
ENSMUSG00000000182	Fgf23	ENSMUST00000000186.9	5utr	0	128	0
ENSMUSG00000000182	Fgf23	ENSMUST00000000186.9	cds	0	753	0
ENSMUSG00000000183	Fgf6	ENSMUST00000000187.7	3utr	1	4033	0
ENSMUSG00000000183	Fgf6	ENSMUST00000000187.7	cds	0	624	0
ENSMUSG00000000184	Ccnd2	ENSMUST00000000188.12	3utr	785	5176	278
ENSMUSG00000000184	Ccnd2	ENSMUST00000000188.12	5utr	2	287	9
ENSMUSG00000000184	Ccnd2	ENSMUST00000000188.12	cds	79	867	87
ENSMUSG00000000194	Gpr107	ENSMUST00000056433.7	3utr	587	4438	178
ENSMUSG00000000194	Gpr107	ENSMUST00000056433.7	5utr	0	43	1
ENSMUSG00000000194	Gpr107	ENSMUST00000056433.7	cds	561	1653	231
ENSMUSG00000000197	Nalcn	ENSMUST00000000201.7	3utr	0	1537	0
ENSMUSG00000000197	Nalcn	ENSMUST00000000201.7	5utr	0	368	0
ENSMUSG00000000197	Nalcn	ENSMUST00000000201.7	cds	11	5217	2
ENSMUSG00000000202	Btbd17	ENSMUST00000000206.4	3utr	0	234	1
ENSMUSG00000000202	Btbd17	ENSMUST00000000206.4	5utr	0	49	0
ENSMUSG00000000202	Btbd17	ENSMUST00000000206.4	cds	0	1434	1
ENSMUSG00000000204	Slfn4	ENSMUST00000000208.13	3utr	0	925	0
ENSMUSG00000000204	Slfn4	ENSMUST00000000208.13	5utr	0	1227	0
ENSMUSG00000000204	Slfn4	ENSMUST00000000208.13	cds	0	1806	2
ENSMUSG00000000214	Th	ENSMUST00000000219.10	3utr	0	282	0
ENSMUSG00000000214	Th	ENSMUST00000000219.10	5utr	0	53	0
ENSMUSG00000000214	Th	ENSMUST00000000219.10	cds	0	1494	0
ENSMUSG00000000215	Ins2	ENSMUST00000105933.8	3utr	0	57	0
ENSMUSG00000000215	Ins2	ENSMUST00000105933.8	5utr	0	165	0
ENSMUSG00000000215	Ins2	ENSMUST00000105933.8	cds	0	330	0
ENSMUSG00000000216	Scnn1g	ENSMUST00000000221.6	3utr	0	929	1
ENSMUSG00000000216	Scnn1g	ENSMUST00000000221.6	5utr	0	97	0
ENSMUSG00000000216	Scnn1g	ENSMUST00000000221.6	cds	10	1965	0
ENSMUSG00000000223	Drp2	ENSMUST00000153424.8	3utr	0	3876	5
ENSMUSG00000000223	Drp2	ENSMUST00000153424.8	5utr	0	388	0
ENSMUSG00000000223	Drp2	ENSMUST00000153424.8	cds	0	2871	8
ENSMUSG00000000244	Tspan32	ENSMUST00000075172.12	3utr	10	908	1
ENSMUSG00000000244	Tspan32	ENSMUST00000075172.12	5utr	0	281	0
ENSMUSG00000000244	Tspan32	ENSMUST00000075172.12	cds	0	687	0
ENSMUSG00000000247	Lhx2	ENSMUST00000000253.6	3utr	0	607	0
ENSMUSG00000000247	Lhx2	ENSMUST00000000253.6	5utr	0	1015	0
ENSMUSG00000000247	Lhx2	ENSMUST00000000253.6	cds	0	1218	0
ENSMUSG00000000248	Clec2g	ENSMUST00000000254.14	3utr	0	1620	0
ENSMUSG00000000248	Clec2g	ENSMUST00000000254.14	5utr	0	36	0
ENSMUSG00000000248	Clec2g	ENSMUST00000000254.14	cds	0	807	0
ENSMUSG00000000253	Gmpr	ENSMUST00000000260.13	3utr	16	332	12
ENSMUSG00000000253	Gmpr	ENSMUST00000000260.13	5utr	0	213	2
ENSMUSG00000000253	Gmpr	ENSMUST00000000260.13	cds	59	1035	66
ENSMUSG00000000263	Glra1	ENSMUST00000102716.10	3utr	0	578	0
ENSMUSG00000000263	Glra1	ENSMUST00000102716.10	5utr	0	465	0
ENSMUSG00000000263	Glra1	ENSMUST00000102716.10	cds	0	1347	0
ENSMUSG00000000266	Mid2	ENSMUST00000112993.2	3utr	7	3837	0
ENSMUSG00000000266	Mid2	ENSMUST00000112993.2	5utr	0	24	0
ENSMUSG00000000266	Mid2	ENSMUST00000112993.2	cds	3	2055	0
ENSMUSG00000000275	Trim25	ENSMUST00000107896.10	3utr	990	3575	850
ENSMUSG00000000275	Trim25	ENSMUST00000107896.10	5utr	0	113	30
ENSMUSG00000000275	Trim25	ENSMUST00000107896.10	cds	609	1902	586
ENSMUSG00000000276	Dgke	ENSMUST00000000285.9	3utr	408	3153	105
ENSMUSG00000000276	Dgke	ENSMUST00000000285.9	5utr	0	363	5
ENSMUSG00000000276	Dgke	ENSMUST00000000285.9	cds	218	1692	101
ENSMUSG00000000278	Scpep1	ENSMUST00000000287.9	3utr	1909	645	274
ENSMUSG00000000278	Scpep1	ENSMUST00000000287.9	5utr	13	96	32
ENSMUSG00000000278	Scpep1	ENSMUST00000000287.9	cds	4208	1356	1286
ENSMUSG00000000282	Mnt	ENSMUST00000000291.9	3utr	476	2408	254
ENSMUSG00000000282	Mnt	ENSMUST00000000291.9	5utr	10	409	16
ENSMUSG00000000282	Mnt	ENSMUST00000000291.9	cds	147	1773	190
ENSMUSG00000000290	Itgb2	ENSMUST00000000299.14	3utr	0	449	0
ENSMUSG00000000290	Itgb2	ENSMUST00000000299.14	5utr	0	211	0
ENSMUSG00000000290	Itgb2	ENSMUST00000000299.14	cds	5	2310	2
ENSMUSG00000000295	Hddc2	ENSMUST00000000304.14	3utr	63	229	35
ENSMUSG00000000295	Hddc2	ENSMUST00000000304.14	5utr	0	32	0
ENSMUSG00000000295	Hddc2	ENSMUST00000000304.14	cds	188	597	107
ENSMUSG00000000296	Tpd52l1	ENSMUST00000000305.7	3utr	30	468	34
ENSMUSG00000000296	Tpd52l1	ENSMUST00000000305.7	5utr	3	228	14
ENSMUSG00000000296	Tpd52l1	ENSMUST00000000305.7	cds	169	612	83
ENSMUSG00000000301	Pemt	ENSMUST00000102692.10	3utr	27	207	7
ENSMUSG00000000301	Pemt	ENSMUST00000102692.10	5utr	0	199	2
ENSMUSG00000000301	Pemt	ENSMUST00000102692.10	cds	34	597	22
ENSMUSG00000000303	Cdh1	ENSMUST00000000312.12	3utr	8434	1634	615
ENSMUSG00000000303	Cdh1	ENSMUST00000000312.12	5utr	17	144	53
ENSMUSG00000000303	Cdh1	ENSMUST00000000312.12	cds	8777	2652	1737
ENSMUSG00000000305	Cdh4	ENSMUST00000000314.13	3utr	46	3458	18
ENSMUSG00000000305	Cdh4	ENSMUST00000000314.13	5utr	0	191	0
ENSMUSG00000000305	Cdh4	ENSMUST00000000314.13	cds	40	2739	30
ENSMUSG00000000308	Ckmt1	ENSMUST00000000317.13	3utr	9	126	8
ENSMUSG00000000308	Ckmt1	ENSMUST00000000317.13	5utr	6	240	7
ENSMUSG00000000308	Ckmt1	ENSMUST00000000317.13	cds	19	1254	129
ENSMUSG00000000317	Bcl6b	ENSMUST00000000326.12	3utr	66	1902	56
ENSMUSG00000000317	Bcl6b	ENSMUST00000000326.12	5utr	0	42	6
ENSMUSG00000000317	Bcl6b	ENSMUST00000000326.12	cds	11	1422	60
ENSMUSG00000000318	Clec10a	ENSMUST00000102571.10	3utr	3	263	0
ENSMUSG00000000318	Clec10a	ENSMUST00000102571.10	5utr	0	321	0
ENSMUSG00000000318	Clec10a	ENSMUST00000102571.10	cds	0	912	0
ENSMUSG00000000320	Alox12	ENSMUST00000000329.9	3utr	4	931	6
ENSMUSG00000000320	Alox12	ENSMUST00000000329.9	5utr	0	81	1
ENSMUSG00000000320	Alox12	ENSMUST00000000329.9	cds	2	1989	22
ENSMUSG00000000326	Comt	ENSMUST00000115609.10	3utr	50	574	426
ENSMUSG00000000326	Comt	ENSMUST00000115609.10	5utr	10	497	3
ENSMUSG00000000326	Comt	ENSMUST00000115609.10	cds	71	795	43
ENSMUSG00000000339	Rtca	ENSMUST00000000348.15	3utr	38	277	71
ENSMUSG00000000339	Rtca	ENSMUST00000000348.15	5utr	2	219	17
ENSMUSG00000000339	Rtca	ENSMUST00000000348.15	cds	455	1098	253
ENSMUSG00000000340	Dbt	ENSMUST00000000349.11	3utr	463	1784	117
ENSMUSG00000000340	Dbt	ENSMUST00000000349.11	5utr	23	71	3
ENSMUSG00000000340	Dbt	ENSMUST00000000349.11	cds	423	1446	215
ENSMUSG00000000346	Dazap2	ENSMUST00000000356.10	3utr	241	1268	229
ENSMUSG00000000346	Dazap2	ENSMUST00000000356.10	5utr	1	363	18
ENSMUSG00000000346	Dazap2	ENSMUST00000000356.10	cds	19	504	130
ENSMUSG00000000355	Mcts1	ENSMUST00000000365.3	3utr	58	127	20
ENSMUSG00000000355	Mcts1	ENSMUST00000000365.3	5utr	0	113	14
ENSMUSG00000000355	Mcts1	ENSMUST00000000365.3	cds	45	543	55
ENSMUSG00000000359	Rem1	ENSMUST00000000369.4	3utr	4	480	2
ENSMUSG00000000359	Rem1	ENSMUST00000000369.4	5utr	0	292	0
ENSMUSG00000000359	Rem1	ENSMUST00000000369.4	cds	15	891	0
ENSMUSG00000000365	Rnf17	ENSMUST00000095793.3	3utr	7	224	3
ENSMUSG00000000365	Rnf17	ENSMUST00000095793.3	5utr	0	120	1
ENSMUSG00000000365	Rnf17	ENSMUST00000095793.3	cds	500	4920	265
ENSMUSG00000000374	Trappc10	ENSMUST00000000384.8	3utr	78	1134	38
ENSMUSG00000000374	Trappc10	ENSMUST00000000384.8	5utr	0	139	8
ENSMUSG00000000374	Trappc10	ENSMUST00000000384.8	cds	378	3774	221
ENSMUSG00000000378	Ccm2	ENSMUST00000000388.15	3utr	16	386	69
ENSMUSG00000000378	Ccm2	ENSMUST00000000388.15	5utr	0	113	6
ENSMUSG00000000378	Ccm2	ENSMUST00000000388.15	cds	340	1359	300
ENSMUSG00000000381	Wap	ENSMUST00000102910.4	3utr	0	134	0
ENSMUSG00000000381	Wap	ENSMUST00000102910.4	5utr	0	15	0
ENSMUSG00000000381	Wap	ENSMUST00000102910.4	cds	0	402	0
ENSMUSG00000000384	Tbrg4	ENSMUST00000189268.7	3utr	115	226	127
ENSMUSG00000000384	Tbrg4	ENSMUST00000189268.7	5utr	12	231	79
ENSMUSG00000000384	Tbrg4	ENSMUST00000189268.7	cds	506	1890	1063
ENSMUSG00000000385	Tmprss2	ENSMUST00000000395.8	3utr	0	1461	2
ENSMUSG00000000385	Tmprss2	ENSMUST00000000395.8	5utr	0	230	0
ENSMUSG00000000385	Tmprss2	ENSMUST00000000395.8	cds	0	1470	0
ENSMUSG00000000392	Fap	ENSMUST00000102732.10	3utr	0	244	0
ENSMUSG00000000392	Fap	ENSMUST00000102732.10	5utr	0	224	0
ENSMUSG00000000392	Fap	ENSMUST00000102732.10	cds	0	2283	0
ENSMUSG00000000394	Gcg	ENSMUST00000102733.10	3utr	0	451	0
ENSMUSG00000000394	Gcg	ENSMUST00000102733.10	5utr	0	97	0
ENSMUSG00000000394	Gcg	ENSMUST00000102733.10	cds	0	540	0
ENSMUSG00000000399	Ndufa9	ENSMUST00000205002.3	3utr	3	301	15
ENSMUSG00000000399	Ndufa9	ENSMUST00000205002.3	5utr	7	13	5
ENSMUSG00000000399	Ndufa9	ENSMUST00000205002.3	cds	2207	1131	785
ENSMUSG00000000402	Egfl6	ENSMUST00000000412.3	3utr	0	857	2
ENSMUSG00000000402	Egfl6	ENSMUST00000000412.3	5utr	0	197	2
ENSMUSG00000000402	Egfl6	ENSMUST00000000412.3	cds	63	1650	10
ENSMUSG00000000409	Lck	ENSMUST00000067240.11	3utr	28	452	53
ENSMUSG00000000409	Lck	ENSMUST00000067240.11	5utr	0	206	1
ENSMUSG00000000409	Lck	ENSMUST00000067240.11	cds	81	1527	137
ENSMUSG00000000411	Tssk3	ENSMUST00000000421.6	3utr	0	60	0
ENSMUSG00000000411	Tssk3	ENSMUST00000000421.6	5utr	0	416	0
ENSMUSG00000000411	Tssk3	ENSMUST00000000421.6	cds	0	804	0
ENSMUSG00000000416	Cttnbp2	ENSMUST00000090601.12	3utr	0	153	0
ENSMUSG00000000416	Cttnbp2	ENSMUST00000090601.12	5utr	0	86	0
ENSMUSG00000000416	Cttnbp2	ENSMUST00000090601.12	cds	13	4944	7
ENSMUSG00000000420	Galnt1	ENSMUST00000170243.8	3utr	600	1957	82
ENSMUSG00000000420	Galnt1	ENSMUST00000170243.8	5utr	61	474	23
ENSMUSG00000000420	Galnt1	ENSMUST00000170243.8	cds	989	1677	127
ENSMUSG00000000435	Myf5	ENSMUST00000000445.2	3utr	0	1115	0
ENSMUSG00000000435	Myf5	ENSMUST00000000445.2	5utr	0	203	0
ENSMUSG00000000435	Myf5	ENSMUST00000000445.2	cds	0	765	0
ENSMUSG00000000439	Mkrn2	ENSMUST00000000449.9	3utr	162	4896	108
ENSMUSG00000000439	Mkrn2	ENSMUST00000000449.9	5utr	0	86	1
ENSMUSG00000000439	Mkrn2	ENSMUST00000000449.9	cds	130	1248	107
ENSMUSG00000000440	Pparg	ENSMUST00000171644.8	3utr	0	207	0
ENSMUSG00000000440	Pparg	ENSMUST00000171644.8	5utr	0	493	1
ENSMUSG00000000440	Pparg	ENSMUST00000171644.8	cds	0	1425	0
ENSMUSG00000000441	Raf1	ENSMUST00000000451.14	3utr	335	700	168
ENSMUSG00000000441	Raf1	ENSMUST00000000451.14	5utr	34	426	95
ENSMUSG00000000441	Raf1	ENSMUST00000000451.14	cds	674	1944	806
ENSMUSG00000000486	Septin1	ENSMUST00000106314.8	3utr	9	299	60
ENSMUSG00000000486	Septin1	ENSMUST00000106314.8	5utr	0	89	5
ENSMUSG00000000486	Septin1	ENSMUST00000106314.8	cds	182	1098	520
ENSMUSG00000000489	Pdgfb	ENSMUST00000000500.8	3utr	22	1411	39
ENSMUSG00000000489	Pdgfb	ENSMUST00000000500.8	5utr	0	810	5
ENSMUSG00000000489	Pdgfb	ENSMUST00000000500.8	cds	29	723	30
ENSMUSG00000000530	Acvrl1	ENSMUST00000000542.14	3utr	8	1862	2
ENSMUSG00000000530	Acvrl1	ENSMUST00000000542.14	5utr	0	272	0
ENSMUSG00000000530	Acvrl1	ENSMUST00000000542.14	cds	16	1506	4
ENSMUSG00000000531	Tamalin	ENSMUST00000000543.6	3utr	42	743	40
ENSMUSG00000000531	Tamalin	ENSMUST00000000543.6	5utr	0	114	7
ENSMUSG00000000531	Tamalin	ENSMUST00000000543.6	cds	69	1176	101
ENSMUSG00000000532	Acvr1b	ENSMUST00000000544.12	3utr	1219	2825	211
ENSMUSG00000000532	Acvr1b	ENSMUST00000000544.12	5utr	2	78	4
ENSMUSG00000000532	Acvr1b	ENSMUST00000000544.12	cds	771	1515	164
ENSMUSG00000000538	Tom1l2	ENSMUST00000102683.11	3utr	36	3381	75
ENSMUSG00000000538	Tom1l2	ENSMUST00000102683.11	5utr	0	97	1
ENSMUSG00000000538	Tom1l2	ENSMUST00000102683.11	cds	63	1521	84
ENSMUSG00000000544	Gpa33	ENSMUST00000060833.14	3utr	653	1234	339
ENSMUSG00000000544	Gpa33	ENSMUST00000060833.14	5utr	77	324	51
ENSMUSG00000000544	Gpa33	ENSMUST00000060833.14	cds	2556	957	381
ENSMUSG00000000552	Zfp385a	ENSMUST00000168828.3	3utr	25	1103	51
ENSMUSG00000000552	Zfp385a	ENSMUST00000168828.3	5utr	1	37	2
ENSMUSG00000000552	Zfp385a	ENSMUST00000168828.3	cds	82	1158	119
ENSMUSG00000000555	Itga5	ENSMUST00000023128.8	3utr	24	986	35
ENSMUSG00000000555	Itga5	ENSMUST00000023128.8	5utr	1	237	2
ENSMUSG00000000555	Itga5	ENSMUST00000023128.8	cds	540	3159	230
ENSMUSG00000000560	Gabra2	ENSMUST00000197284.5	3utr	0	4208	4
ENSMUSG00000000560	Gabra2	ENSMUST00000197284.5	5utr	0	291	1
ENSMUSG00000000560	Gabra2	ENSMUST00000197284.5	cds	0	1353	0
ENSMUSG00000000561	Wdr77	ENSMUST00000010278.12	3utr	1904	2441	572
ENSMUSG00000000561	Wdr77	ENSMUST00000010278.12	5utr	4	215	76
ENSMUSG00000000561	Wdr77	ENSMUST00000010278.12	cds	338	1026	1026
ENSMUSG00000000562	Adora3	ENSMUST00000000574.3	3utr	0	1034	1
ENSMUSG00000000562	Adora3	ENSMUST00000000574.3	5utr	0	379	0
ENSMUSG00000000562	Adora3	ENSMUST00000000574.3	cds	0	957	0
ENSMUSG00000000563	Atp5pb	ENSMUST00000118209.8	3utr	2350	291	270
ENSMUSG00000000563	Atp5pb	ENSMUST00000118209.8	5utr	38	545	37
ENSMUSG00000000563	Atp5pb	ENSMUST00000118209.8	cds	1406	768	1309
ENSMUSG00000000567	Sox9	ENSMUST00000000579.3	3utr	1	2253	0
ENSMUSG00000000567	Sox9	ENSMUST00000000579.3	5utr	0	361	0
ENSMUSG00000000567	Sox9	ENSMUST00000000579.3	cds	0	1521	0
ENSMUSG00000000568	Hnrnpd	ENSMUST00000172361.8	3utr	1704	5432	228
ENSMUSG00000000568	Hnrnpd	ENSMUST00000172361.8	5utr	52	314	136
ENSMUSG00000000568	Hnrnpd	ENSMUST00000172361.8	cds	1506	1065	1315
ENSMUSG00000000579	Dynlt1c	ENSMUST00000092966.5	3utr	0	2111	1090
ENSMUSG00000000579	Dynlt1c	ENSMUST00000092966.5	5utr	0	139	22
ENSMUSG00000000579	Dynlt1c	ENSMUST00000092966.5	cds	9	339	2097
ENSMUSG00000000581	C1d	ENSMUST00000000594.9	3utr	317	2484	63
ENSMUSG00000000581	C1d	ENSMUST00000000594.9	5utr	17	74	27
ENSMUSG00000000581	C1d	ENSMUST00000000594.9	cds	307	423	196
ENSMUSG00000000594	Gm2a	ENSMUST00000000608.8	3utr	750	3499	108
ENSMUSG00000000594	Gm2a	ENSMUST00000000608.8	5utr	1	49	6
