candidate_rank	Geneid	Chr	Start	End	Strand	Length	CLIP-35L33G.bam	RNA-control.bam	RNA-siLin28a.bam	RNA-siLuc.bam	RPF-siLin28a.bam	RPF-siLuc.bam	gene_name	gene_type	CPM_CLIP	CPM_RNA_control	CPM_RNA_siLin28a	CPM_RNA_siLuc	CPM_RPF_siLin28a	CPM_RPF_siLuc	CLIP_enrichment	RNA_log2FC	RPF_log2FC	TE_log2FC	library_size_normalized	pseudocount_cpm	is_protein_coding	is_non_histone	pass_rna_count_filter	pass_rpf_count_filter	pass_finite_metric_filter	pass_base_filter	CLIP_group	is_top20_clip	candidate_rule	symbol_keyword_category
1	ENSMUSG00000027900.16	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	106455114;106455143;106455147;106455180;106455186;106455188;106455193;106455193;106455197;106456222;106457815;106457815;106457815;106459472;106459472;106459472;106459472;106459472;106459472;106459472;106462480;106462480;106462480;106462480;106462480;106462480;106462483;106462483;106462483;106469065;106469065;106469065;106469065;106469065;106469065;106469065;106473361;106473361;106473361;106473361;106473361;106473361;106473361;106478009;106478009;106478009;106478009;106478927;106478927;106480289;106480289;106480289;106480891;106480891;106480891	106455236;106455236;106455236;106455236;106455236;106455236;106455236;106455236;106455236;106456301;106457991;106457991;106457991;106459596;106459596;106459596;106459596;106459596;106459596;106459596;106462624;106462624;106462624;106462624;106462624;106462624;106462576;106462608;106462624;106469132;106469132;106469132;106469132;106469132;106469132;106469132;106473500;106473500;106473500;106473571;106473730;106473500;106473500;106478101;106478164;106478186;106478186;106479009;106479009;106480381;106480381;106480381;106482161;106482161;106483206	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3758	204	49	124	132	254	157	Dram2	protein_coding	14.965947	9.4215622	10.050023	13.540146	23.751277	12.140159	0.66202115	-0.42637607	0.96244415	1.3888202	True	0.1	True	True	True	True	True	True	5-20%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
2	ENSMUSG00000021072.13	chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12	70499869;70502786;70502812;70503355;70503355;70505553;70505553;70506615;70507119;70507253;70507253;70507253;70511174;70511174;70512752;70512752	70500094;70502901;70502901;70503400;70503400;70505681;70505681;70507164;70507164;70507350;70507354;70507354;70511240;70511240;70513027;70514814	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3299	2619	167	491	495	624	370	Tmx1	protein_coding	192.13635	32.110222	39.79485	50.775548	58.349593	28.610567	2.5772906	-0.35076991	1.0256112	1.3763811	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	er_redox_chaperone_symbol
3	ENSMUSG00000001870.17	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	75312563;75312563;75312813;75313289;75314326;75314326;75314326;75314326;75315415;75354574;75372906;75372906;75458260;75458260;75485805;75485805;75485906;75486032;75486032;75532151;75532151;75532151;75532151;75532151;75533962;75533962;75533962;75533962;75533962;75550723;75555889;75555889;75555889;75555889;75555889;75559339;75559339;75559339;75559339;75559339;75573483;75573483;75573483;75573483;75573483;75580862;75580862;75580862;75580862;75580862;75583391;75583391;75583391;75583391;75583550;75585947;75585947;75585947;75585947;75585947;75589323;75589323;75589323;75589323;75589323;75589915;75589915;75589915;75589915;75589915;75596971;75597010;75597010;75597010;75597010;75597010;75598286;75598286;75598286;75598286;75598286;75598286;75599751;75599751;75599751;75599751;75599751;75599751;75603219;75603219;75603219;75603219;75603219;75617151;75617151;75617151;75617151;75617151;75617151;75619971;75619971;75619971;75619971;75619971;75621998;75621998;75621998;75621998;75621998;75621998;75627966;75627966;75627966;75627966;75627966;75634192;75634192;75634192;75634192;75634192;75655739;75655739;75655739;75655739;75655739;75659682;75659682;75659682;75659682;75666285;75666285;75666285;75666285;75667707;75667707;75667707;75667707;75669505;75669505;75669505;75669505;75670333;75670333;75670333;75670333;75671334;75671334;75671334;75671334;75691205;75692068;75692068;75692068;75692068;75696425;75696425;75696425;75696425;75696425;75697367;75697367;75697367;75697367;75697367	75313356;75313356;75313356;75313356;75314396;75314396;75314396;75314396;75315794;75354781;75373197;75373197;75458429;75458429;75486199;75486199;75486199;75486199;75486199;75532375;75532375;75532375;75532375;75532375;75534236;75534236;75534236;75534236;75534236;75550725;75555991;75555991;75555991;75555991;75555991;75559410;75559410;75559410;75559410;75559410;75573605;75573605;75573605;75573605;75573605;75581029;75581029;75581029;75581029;75581029;75583618;75583618;75583618;75583618;75583618;75585969;75585969;75585969;75585969;75585969;75589422;75589422;75589422;75589422;75589422;75590013;75590013;75590013;75590013;75590013;75597135;75597135;75597135;75597135;75597135;75597135;75598411;75598411;75598411;75598411;75598411;75598411;75601364;75599873;75599873;75599873;75599873;75599873;75603338;75603338;75603338;75603338;75603338;75617273;75617273;75617273;75617273;75617273;75617273;75620093;75620093;75620093;75620093;75620093;75622120;75622120;75622120;75622120;75622120;75622120;75628088;75628088;75628088;75628088;75628088;75634317;75634317;75634317;75634317;75634317;75655864;75655864;75655928;75655864;75655864;75659825;75659825;75659825;75659825;75666464;75666464;75666464;75666464;75667793;75667793;75667793;75667793;75669633;75669633;75669633;75669633;75670473;75670473;75670473;75670473;75671504;75671504;75671504;75671504;75692190;75692190;75692190;75692190;75692190;75696574;75696574;75696574;75696574;75696574;75699507;75698321;75698331;75698762;75698323	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10691	224	38	116	77	221	87	Ltbp1	protein_coding	16.433197	7.3065176	9.4016346	7.8984185	20.665481	6.7273494	1.1584984	0.24846095	1.6047898	1.3563288	True	0.1	True	True	True	True	True	True	5-20%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
4	ENSMUSG00000016534.16	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	37490234;37493939;37508384;37513144;37513144;37513144;37514240;37514240;37514240;37518759;37519795;37519795;37519795;37520727;37520727;37520727;37520727;37524273;37524273;37524273;37524273;37529008;37529008;37529008;37529008;37530902;37530902;37530902;37530902;37541767;37545126;37545126;37545126;37545126	37491158;37494448;37510728;37513308;37513308;37513308;37514303;37514303;37514303;37519917;37519917;37519917;37519917;37520938;37520938;37520938;37520938;37524431;37524431;37524431;37524431;37529221;37529221;37529221;37529221;37532027;37531017;37531017;37531017;37544233;37545291;37545331;37545331;37545331	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9552	3296	296	832	720	2657	1426	Lamp2	protein_coding	241.80275	56.913927	67.432414	73.855342	248.45331	110.26667	2.0850409	-0.13107424	1.1712508	1.302325	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	vesicle_secretory_symbol
5	ENSMUSG00000033808.17	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	120185793;120185793;120185797;120186454;120190015;120190015;120190015;120190015;120190520;120190520;120190520;120190520;120193360;120193360;120193360;120193360;120193775;120193843;120193843;120193843;120199725;120199725;120199725;120199725;120199725;120200924;120200924;120200924;120200924;120200924;120202005;120202005;120202005;120202005;120202005;120204392;120204392;120204969;120204969;120204969;120205900;120205900;120205900;120205900;120205900;120208374;120208374;120208374;120208374;120208374;120210072;120210072;120210072;120210072;120210072;120211248;120211248;120211248;120211248;120211248;120211271;120211785;120216255;120216255;120216255;120216255;120216255;120216255;120222662;120222662;120222662;120222662;120222662;120222662;120222662;120222796;120222796;120222796;120222796;120222796;120222796;120222796;120224843;120224843;120224843;120224843;120224843;120224843;120224843;120227843;120227843;120227843;120227843;120227843;120227843;120227843;120233191;120233191;120233191;120233191;120233191;120233191;120234386;120234386;120234386;120234386;120234386;120234386;120234386;120234553	120187019;120187019;120187019;120187019;120190045;120190045;120190045;120190045;120190575;120190572;120190575;120190575;120193421;120193421;120193421;120193421;120193916;120193916;120193916;120193916;120199828;120199828;120199828;120199828;120199828;120200982;120200982;120200982;120200982;120200982;120202113;120202113;120202113;120202113;120202113;120204460;120204460;120205040;120205040;120205040;120205993;120205993;120205993;120205993;120205993;120208473;120208473;120208473;120208473;120208473;120210255;120210255;120210255;120210255;120210255;120211309;120211309;120211309;120211309;120211309;120211309;120216372;120216372;120216372;120216372;120216372;120216372;120216372;120222706;120222706;120222706;120222706;120222706;120222706;120222706;120222849;120222849;120222849;120222849;120222849;120222849;120222849;120224956;120224956;120224956;120224956;120224956;120224956;120224956;120227928;120227928;120227928;120227928;120227928;120227928;120227928;120233251;120233251;120233251;120233251;120233251;120233251;120234562;120234441;120234559;120234558;120234576;120234570;120234550;120234594	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7528	2160	168	497	513	1318	857	Tmem87a	protein_coding	158.46297	32.302499	40.281141	52.621931	123.24481	66.268258	2.2908789	-0.38472153	0.89413174	1.2788533	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	transmembrane_symbol
6	ENSMUSG00000021763.18	chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13	113429693;113453618;113454199;113459269;113464109;113478904;113479082;113483045;113483045;113488131;113488131;113488137;113502618;113502618;113502618;113504004;113504004;113505924;113515934	113429868;113453781;113457753;113459739;113464285;113479102;113479102;113483176;113483176;113488300;113488300;113488300;113502801;113502801;113502801;113507049;113505919;113507046;113516245	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8586	212	54	131	122	173	101	Cspg4b	protein_coding	15.552847	10.382946	10.617363	12.514377	16.177051	7.8099114	0.57838084	-0.235119	1.0411059	1.2762249	True	0.1	True	True	True	True	True	True	5-20%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
7	ENSMUSG00000049488.15	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	12039355;12039363;12039645;12040635;12040635;12040635;12043465;12043465;12043465;12045795;12045795;12045795;12046003;12046003;12046003;12047198;12047198;12047198;12047810;12047810;12047810;12051388;12051388;12051388;12053447;12053447;12053447;12053675;12053675;12053675;12054746;12054746;12054746;12055031;12055031;12055031;12057316;12057316;12057316;12058521;12058521;12058521;12059788;12060052;12061755;12061755;12061755;12063035;12063035;12063035;12063035;12063674;12063674;12063674;12063674;12068463;12068868;12068868;12068868;12068868;12069414;12069414;12069414;12069414;12069414;12070237;12070237;12070237;12070237;12070237;12070449;12070449;12070449;12070449;12070449;12073894;12073894;12073894;12073894;12073894;12075455;12075455;12075455;12075455;12075455;12075623;12075623;12075623;12075623;12075623;12077336;12077336;12077336;12077336;12077336;12078588;12079875;12079875;12079875;12079875;12079875;12085912;12085912;12085912;12085912;12085912;12085912;12087715;12087715;12087715;12087715;12087715;12087715;12089286	12039892;12039892;12039892;12040777;12040777;12040777;12043567;12043567;12043567;12045899;12045899;12045899;12046119;12046119;12046119;12047314;12047314;12047314;12047890;12047890;12047890;12051528;12051528;12051528;12053586;12053586;12053586;12053774;12053774;12053774;12054832;12054832;12054832;12055129;12055129;12055129;12057414;12057414;12057414;12058577;12058577;12058577;12059895;12061860;12061860;12061860;12061860;12063158;12063158;12063158;12063158;12063830;12063830;12063830;12063830;12068933;12068933;12068933;12068933;12068933;12069491;12069491;12069491;12069491;12069491;12070345;12070345;12070345;12070345;12070345;12070603;12070603;12070603;12070603;12070603;12073956;12073956;12073956;12073956;12073956;12075529;12075525;12075529;12075525;12075529;12075692;12075692;12075692;12075692;12075692;12077435;12077435;12077435;12077435;12077435;12079968;12079968;12079968;12079968;12079968;12079968;12086000;12086000;12086000;12086000;12086000;12086000;12087932;12087927;12088007;12088001;12087938;12087957;12090020	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7744	322	37	110	98	237	133	Tmem67	protein_coding	23.62272	7.1142409	8.9153431	10.052533	22.161624	10.284339	1.71735	-0.17138536	1.1001495	1.2715349	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	transmembrane_symbol
8	ENSMUSG00000036242.16	chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14	49913409;49919125;49920069;49920069;49926724;49926724;49966346;49988876;49988876;49988876;50005866;50005866;50007836;50007836;50010319;50010319;50020725;50020725	49919873;49919870;49920203;49920203;49926755;49926755;49966785;49989004;49989139;49989139;50006057;50006057;50008084;50008084;50011696;50011696;50020828;50020840	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9271	620	77	243	271	1276	902	Armh4	protein_coding	45.484741	14.805312	19.694803	27.79833	119.31744	69.747922	1.6127244	-0.49505703	0.77372442	1.2687814	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
9	ENSMUSG00000021696.10	chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13	108350938;108350944;108393201;108393201;108403724;108403724;108407167;108407167;108408339;108408339;108410820;108410820;108416111;108416111;108419006;108419006	108351034;108351034;108393332;108393332;108403868;108403914;108407247;108407247;108408395;108408395;108410925;108410925;108416247;108416247;108420607;108422217	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4013	324	34	106	106	162	103	Elovl7	protein_coding	23.769445	6.5374105	8.5911488	10.873148	15.148452	7.9645631	1.8464726	-0.33635862	0.91899451	1.2553531	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	lipid_membrane_metabolism_symbol
10	ENSMUSG00000078681.11	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	65340917;65342810;65343156;65343165;65343195;65343215;65343224;65343225;65343229;65343272;65343272;65343599;65343599;65343599;65343599;65343614;65343614;65344891;65344891;65344891;65344891;65344891;65344918;65344918;65344918;65344922;65347444;65347444;65347444;65347444;65347444;65347444;65347444;65347444;65347444;65348840;65348840;65348840;65348840;65348840;65348840;65351341;65351341;65351341;65351341;65351341	65341038;65343317;65343317;65343317;65343317;65343317;65343317;65343317;65343317;65343317;65343317;65343691;65343691;65343691;65343691;65343691;65343691;65344975;65345075;65345075;65345075;65345075;65345075;65345075;65345075;65345075;65347622;65347618;65347618;65347627;65347618;65347480;65347618;65347618;65347618;65348900;65348915;65348915;65348915;65348915;65348915;65351650;65351648;65351661;65351650;65351659	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1489	498	139	330	340	1072	712	Tm2d3	protein_coding	36.534518	26.726472	26.746029	34.876134	100.24161	55.056009	0.44954626	-0.3816621	0.86332999	1.2449921	True	0.1	True	True	True	True	True	True	5-20%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
