gene_id	gene_id_base	gene_name	transcript_id	chrom	strand	transcript_length	cds_length	utr_length	selection_score
ENSMUSG00000000544.15	ENSMUSG00000000544	Gpa33	ENSMUST00000060833.14	chr1	+	2515	957	1558	1|1|1|1|957|2515
ENSMUSG00000000817.11	ENSMUSG00000000817	Fasl	ENSMUST00000000834.4	chr1	-	1937	837	1100	1|1|1|1|837|1937
ENSMUSG00000001138.14	ENSMUSG00000001138	Cnnm3	ENSMUST00000001166.14	chr1	+	5193	2139	3054	1|1|1|1|2139|5193
ENSMUSG00000001143.14	ENSMUSG00000001143	Lman2l	ENSMUST00000125304.8	chr1	-	3378	1041	2337	1|1|1|1|1041|3378
ENSMUSG00000001305.6	ENSMUSG00000001305	Rrp15	ENSMUST00000001339.6	chr1	-	1321	843	478	1|1|1|1|843|1321
ENSMUSG00000001674.12	ENSMUSG00000001674	Ddx18	ENSMUST00000001724.12	chr1	-	2258	1980	278	1|1|1|1|1980|2258
ENSMUSG00000002459.18	ENSMUSG00000002459	Rgs20	ENSMUST00000002533.15	chr1	-	1778	717	1061	1|1|1|1|717|1778
ENSMUSG00000002881.15	ENSMUSG00000002881	Nab1	ENSMUST00000069792.14	chr1	-	3874	1458	2416	1|1|1|1|1458|3874
ENSMUSG00000003051.14	ENSMUSG00000003051	Elf3	ENSMUST00000185752.2	chr1	-	1901	1113	788	1|1|1|1|1113|1901
ENSMUSG00000003134.11	ENSMUSG00000003134	Tbc1d8	ENSMUST00000054462.11	chr1	-	4451	3402	1049	1|1|1|1|3402|4451
ENSMUSG00000003135.16	ENSMUSG00000003135	Cnot11	ENSMUST00000161515.8	chr1	+	3482	1515	1967	1|1|1|1|1515|3482
ENSMUSG00000003458.13	ENSMUSG00000003458	Ncstn	ENSMUST00000003550.11	chr1	-	2901	2124	777	1|1|1|1|2124|2901
ENSMUSG00000003464.14	ENSMUSG00000003464	Pex19	ENSMUST00000075895.9	chr1	+	1917	897	1020	1|1|1|1|897|1917
ENSMUSG00000003721.15	ENSMUSG00000003721	Insig2	ENSMUST00000003818.14	chr1	-	2697	675	2022	1|1|1|1|675|2697
ENSMUSG00000004031.14	ENSMUSG00000004031	Brinp2	ENSMUST00000004133.11	chr1	-	4167	2349	1818	1|1|1|1|2349|4167
ENSMUSG00000004110.18	ENSMUSG00000004110	Cacna1e	ENSMUST00000187541.7	chr1	-	14921	6819	8102	1|1|1|1|6819|14921
ENSMUSG00000004364.15	ENSMUSG00000004364	Cul3	ENSMUST00000163119.8	chr1	-	4709	2304	2405	1|1|1|1|2304|4709
ENSMUSG00000004451.15	ENSMUSG00000004451	Ralb	ENSMUST00000004565.15	chr1	-	2289	618	1671	1|1|1|1|618|2289
ENSMUSG00000004552.17	ENSMUSG00000004552	Ctse	ENSMUST00000073350.13	chr1	+	2126	1191	935	1|1|1|1|1191|2126
ENSMUSG00000004707.15	ENSMUSG00000004707	Ly9	ENSMUST00000068878.14	chr1	-	2488	1962	526	1|1|1|1|1962|2488
ENSMUSG00000004709.15	ENSMUSG00000004709	Cd244a	ENSMUST00000004829.13	chr1	+	3760	1191	2569	1|1|1|1|1191|3760
ENSMUSG00000004768.15	ENSMUSG00000004768	Rab23	ENSMUST00000088287.10	chr1	+	4322	711	3611	1|1|1|1|711|4322
ENSMUSG00000004872.16	ENSMUSG00000004872	Pax3	ENSMUST00000004994.16	chr1	-	3078	1452	1626	1|1|1|1|1452|3078
ENSMUSG00000004880.12	ENSMUSG00000004880	Lbr	ENSMUST00000005003.12	chr1	-	3510	1878	1632	1|1|1|1|1878|3510
ENSMUSG00000005338.15	ENSMUSG00000005338	Cadm3	ENSMUST00000111220.8	chr1	-	5155	1188	3967	1|1|1|1|1188|5155
ENSMUSG00000005339.11	ENSMUSG00000005339	Fcer1a	ENSMUST00000049706.11	chr1	-	998	750	248	1|1|1|1|750|998
ENSMUSG00000005501.15	ENSMUSG00000005501	Usp40	ENSMUST00000040783.11	chr1	-	5049	3438	1611	1|1|1|1|3438|5049
ENSMUSG00000005674.10	ENSMUSG00000005674	Tomm40l	ENSMUST00000005817.9	chr1	-	4712	924	3788	1|1|1|1|924|4712
ENSMUSG00000005677.15	ENSMUSG00000005677	Nr1i3	ENSMUST00000005820.11	chr1	+	1414	1074	340	1|1|1|1|1074|1414
ENSMUSG00000005681.13	ENSMUSG00000005681	Apoa2	ENSMUST00000005824.12	chr1	+	492	306	186	1|1|1|1|306|492
ENSMUSG00000005763.16	ENSMUSG00000005763	Cd247	ENSMUST00000005907.12	chr1	+	1632	492	1140	1|1|1|1|492|1632
ENSMUSG00000005886.15	ENSMUSG00000005886	Ncoa2	ENSMUST00000006037.13	chr1	-	4897	4386	511	1|1|1|1|4386|4897
ENSMUSG00000006005.19	ENSMUSG00000006005	Tpr	ENSMUST00000124973.9	chr1	+	7430	7293	137	1|1|1|1|7293|7430
ENSMUSG00000006007.15	ENSMUSG00000006007	Pdc	ENSMUST00000191228.7	chr1	+	1235	732	503	1|1|1|1|732|1235
ENSMUSG00000006010.15	ENSMUSG00000006010	Odr4	ENSMUST00000111913.9	chr1	-	3273	1341	1932	0|1|1|1|1341|3273
ENSMUSG00000006014.17	ENSMUSG00000006014	Prg4	ENSMUST00000006171.16	chr1	-	1869	1269	600	1|0|1|1|1269|1869
ENSMUSG00000006299.14	ENSMUSG00000006299	Aamp	ENSMUST00000006462.14	chr1	-	1817	1305	512	1|1|1|1|1305|1817
ENSMUSG00000006301.18	ENSMUSG00000006301	Tmbim1	ENSMUST00000113796.8	chr1	-	11011	927	10084	1|1|1|1|927|11011
ENSMUSG00000006304.15	ENSMUSG00000006304	Arpc2	ENSMUST00000113820.9	chr1	+	1439	900	539	1|1|1|1|900|1439
ENSMUSG00000006403.14	ENSMUSG00000006403	Adamts4	ENSMUST00000219033.2	chr1	+	4386	2535	1851	1|1|1|1|2535|4386
ENSMUSG00000006411.13	ENSMUSG00000006411	Nectin4	ENSMUST00000006578.10	chr1	+	3636	1524	2112	1|1|1|1|1524|3636
ENSMUSG00000006412.11	ENSMUSG00000006412	Pfdn2	ENSMUST00000135941.8	chr1	+	1735	462	1273	1|1|1|1|462|1735
ENSMUSG00000006538.13	ENSMUSG00000006538	Ihh	ENSMUST00000164097.4	chr1	-	2468	1233	1235	1|1|0|1|1233|2468
ENSMUSG00000006542.14	ENSMUSG00000006542	Prkag3	ENSMUST00000188073.7	chr1	-	2832	1467	1365	1|1|1|1|1467|2832
ENSMUSG00000006546.4	ENSMUSG00000006546	Cryba2	ENSMUST00000006721.3	chr1	-	720	591	129	1|1|1|1|591|720
ENSMUSG00000006576.17	ENSMUSG00000006576	Slc4a3	ENSMUST00000124341.8	chr1	+	7182	3681	3501	1|1|1|1|3681|7182
ENSMUSG00000007097.15	ENSMUSG00000007097	Atp1a2	ENSMUST00000085913.11	chr1	-	6227	3060	3167	1|1|1|1|3060|6227
ENSMUSG00000007107.7	ENSMUSG00000007107	Atp1a4	ENSMUST00000111243.2	chr1	-	3470	3096	374	0|1|1|1|3096|3470
ENSMUSG00000007122.12	ENSMUSG00000007122	Casq1	ENSMUST00000003554.11	chr1	-	1847	1215	632	1|1|1|1|1215|1847
ENSMUSG00000007805.5	ENSMUSG00000007805	Twist2	ENSMUST00000007949.4	chr1	+	1329	480	849	1|1|1|1|480|1329
ENSMUSG00000008136.15	ENSMUSG00000008136	Fhl2	ENSMUST00000008280.14	chr1	-	1563	837	726	1|1|1|1|837|1563
ENSMUSG00000008475.14	ENSMUSG00000008475	Arpc5	ENSMUST00000077755.11	chr1	+	1914	453	1461	1|1|1|1|453|1914
ENSMUSG00000009418.17	ENSMUSG00000009418	Nav1	ENSMUST00000190298.8	chr1	-	9353	6294	3059	1|0|0|1|6294|9353
ENSMUSG00000009633.4	ENSMUSG00000009633	G0s2	ENSMUST00000009777.4	chr1	-	871	309	562	1|1|1|1|309|871
ENSMUSG00000009772.16	ENSMUSG00000009772	Nuak2	ENSMUST00000082125.6	chr1	+	3107	1893	1214	1|1|1|1|1893|3107
ENSMUSG00000009905.6	ENSMUSG00000009905	Kdsr	ENSMUST00000010049.6	chr1	-	5518	996	4522	1|1|1|1|996|5518
ENSMUSG00000009907.18	ENSMUSG00000009907	Vps4b	ENSMUST00000094646.6	chr1	-	4633	1332	3301	1|1|1|1|1332|4633
ENSMUSG00000010175.14	ENSMUSG00000010175	Prox1	ENSMUST00000175916.8	chr1	-	7913	2211	5702	1|1|1|1|2211|7913
ENSMUSG00000010290.8	ENSMUSG00000010290	AI597479	ENSMUST00000010434.8	chr1	+	3458	696	2762	1|1|1|1|696|3458
ENSMUSG00000010311.16	ENSMUSG00000010311	Optc	ENSMUST00000124051.9	chr1	-	1885	1143	742	1|1|1|1|1143|1885
ENSMUSG00000010453.13	ENSMUSG00000010453	Kansl3	ENSMUST00000186470.2	chr1	-	2801	2709	92	1|1|1|1|2709|2801
ENSMUSG00000010609.16	ENSMUSG00000010609	Psen2	ENSMUST00000010753.14	chr1	-	2004	1344	660	1|1|1|1|1344|2004
ENSMUSG00000012187.14	ENSMUSG00000012187	Mogat1	ENSMUST00000012331.7	chr1	+	1178	1005	173	1|1|1|1|1005|1178
ENSMUSG00000013275.10	ENSMUSG00000013275	Slc41a1	ENSMUST00000086559.7	chr1	+	4697	1536	3161	1|1|1|1|1536|4697
ENSMUSG00000013593.13	ENSMUSG00000013593	Ndufs2	ENSMUST00000013737.13	chr1	-	1623	1389	234	1|1|1|1|1389|1623
ENSMUSG00000013698.13	ENSMUSG00000013698	Pea15a	ENSMUST00000013842.12	chr1	-	2501	390	2111	1|1|1|1|390|2501
ENSMUSG00000013973.13	ENSMUSG00000013973	Dedd	ENSMUST00000111300.8	chr1	+	2563	954	1609	1|1|1|1|954|2563
ENSMUSG00000013997.11	ENSMUSG00000013997	Nit1	ENSMUST00000111289.8	chr1	-	3041	870	2171	1|1|1|1|870|3041
ENSMUSG00000014226.11	ENSMUSG00000014226	Cacybp	ENSMUST00000014370.11	chr1	-	2098	687	1411	1|1|1|1|687|2098
ENSMUSG00000014602.16	ENSMUSG00000014602	Kif1a	ENSMUST00000171556.8	chr1	-	5391	5067	324	1|1|1|1|5067|5391
ENSMUSG00000014980.15	ENSMUSG00000014980	Tsen15	ENSMUST00000015124.15	chr1	-	1133	504	629	1|1|1|1|504|1133
ENSMUSG00000015222.19	ENSMUSG00000015222	Map2	ENSMUST00000114013.8	chr1	+	6258	5484	774	1|1|1|1|5484|6258
ENSMUSG00000015314.11	ENSMUSG00000015314	Slamf6	ENSMUST00000171330.7	chr1	+	2485	993	1492	1|1|1|1|993|2485
ENSMUSG00000015316.12	ENSMUSG00000015316	Slamf1	ENSMUST00000015460.5	chr1	+	2693	1029	1664	1|1|1|1|1029|2693
ENSMUSG00000015355.14	ENSMUSG00000015355	Cd48	ENSMUST00000068584.7	chr1	+	1186	720	466	1|1|1|1|720|1186
ENSMUSG00000015484.4	ENSMUSG00000015484	Fam163a	ENSMUST00000015628.4	chr1	-	3882	504	3378	1|1|1|1|504|3882
ENSMUSG00000015829.14	ENSMUSG00000015829	Tnr	ENSMUST00000192069.6	chr1	+	12202	4074	8128	1|1|1|1|4074|12202
ENSMUSG00000015843.11	ENSMUSG00000015843	Rxrg	ENSMUST00000015987.10	chr1	+	2110	1389	721	1|1|1|1|1389|2110
ENSMUSG00000015961.9	ENSMUSG00000015961	Adss	ENSMUST00000016105.9	chr1	-	2771	1368	1403	1|1|1|1|1368|2771
ENSMUSG00000015962.6	ENSMUSG00000015962	1700016C15Rik	ENSMUST00000016106.6	chr1	+	768	435	333	1|1|1|1|435|768
